text,sentiment,certainty,language,source
"Ik heb mijn ticketmail niet ontvangen, kun je helpen?",Neutral (task-oriented),borderline,nl,answer_key_sentiment_v2
Kan ik de naam op mijn ticket nog wijzigen?,Neutral (task-oriented),high,nl,answer_key_sentiment_v2
"Mijn ticket scant niet bij de ingang, dit is al de derde keer dat ik het probeer!",Negative (frustrated),high,nl,answer_key_sentiment_v2
"Mijn polsbandje is kapot gegaan, wat moet ik nu doen?",Neutral (task-oriented),borderline,nl,answer_key_sentiment_v2
Moet ik me kunnen legitimeren bij de leeftijdscontrole?,Neutral (task-oriented),high,nl,answer_key_sentiment_v2
Kan ik mijn dagticket omzetten naar een weekendticket?,Neutral (task-oriented),high,nl,answer_key_sentiment_v2
Hoe laat rijdt de laatste pendelbus terug naar het station?,Neutral (task-oriented),high,nl,answer_key_sentiment_v2
How much does parking cost for the whole weekend?,Neutral (task-oriented),high,en,answer_key_sentiment_v2
Waar kan ik mijn fiets stallen dichtbij de ingang?,Neutral (task-oriented),high,nl,answer_key_sentiment_v2
Gibt es einen Ladepunkt für Elektroautos auf dem Parkplatz?,Neutral (task-oriented),high,de,answer_key_sentiment_v2
Vanaf hoe laat kunnen we inchecken op de camping?,Neutral (task-oriented),high,nl,answer_key_sentiment_v2
"We staan al 40 minuten bij de camping-ingang en er gebeurt helemaal niets, dit is echt te gek voor woorden!",Negative (frustrated),high,nl,answer_key_sentiment_v2
Zijn er stopcontacten op de camping om mijn telefoon op te laden?,Neutral (task-oriented),high,nl,answer_key_sentiment_v2
Mogen we een gasfles gebruiken om te koken op de camping?,Neutral (task-oriented),high,nl,answer_key_sentiment_v2
Kan ik het terrein even verlaten en later weer terugkomen met hetzelfde bandje?,Neutral (task-oriented),high,nl,answer_key_sentiment_v2
Waar kan ik een kluisje huren op het terrein?,Neutral (task-oriented),high,nl,answer_key_sentiment_v2
"Ik ben mijn telefoon kwijtgeraakt gisteravond bij het hoofdpodium, wat nu?",Negative (frustrated),high,nl,answer_key_sentiment_v2
Hoe kom ik van podium 2 naar de foodtrucks?,Neutral (task-oriented),high,nl,answer_key_sentiment_v2
Is er een plek waar ik mijn powerbank kan opladen?,Neutral (task-oriented),high,nl,answer_key_sentiment_v2
Zijn er ook merchandise-winkels op het terrein?,Neutral (task-oriented),high,nl,answer_key_sentiment_v2
"Er ligt iemand bewusteloos bij podium 2, we hebben nu hulp nodig!",Neutral (task-oriented),REVIEW-emergency,nl,answer_key_sentiment_v2
"Er breekt brand uit bij de foodtrucks, help snel!",Neutral (task-oriented),REVIEW-emergency,nl,answer_key_sentiment_v2
"Mijn dochter is zoek, ik kan haar nergens meer vinden op het terrein.",Neutral (task-oriented),REVIEW-emergency,nl,answer_key_sentiment_v2
"There's a medical emergency near the main stage, someone collapsed!",Neutral (task-oriented),REVIEW-emergency,en,answer_key_sentiment_v2
Er is geld van mijn cashcard afgeschreven maar mijn saldo is niet aangepast!,Negative (frustrated),high,nl,answer_key_sentiment_v2
Ik wil graag het resterende saldo op mijn cashcard terugvragen.,Neutral (task-oriented),high,nl,answer_key_sentiment_v2
Krijg ik statiegeld terug voor mijn plastic bekers?,Neutral (task-oriented),high,nl,answer_key_sentiment_v2
Are there vegan food options available on site?,Neutral (task-oriented),high,en,answer_key_sentiment_v2
Hoe laat begint de hoofdact vanavond?,Neutral (task-oriented),high,nl,answer_key_sentiment_v2
"Is er ook randprogrammering overdag, of alleen muziek?",Neutral (task-oriented),high,nl,answer_key_sentiment_v2
Wanneer gaan de tickets voor volgend jaar in de verkoop?,Neutral (task-oriented),high,nl,answer_key_sentiment_v2
Het geluid bij podium 3 staat zo hard dat het pijn doet aan mijn oren dit kan echt niet!,Negative (frustrated),high,nl,answer_key_sentiment_v2
De toiletten bij vak 4 zijn al uren niet schoongemaakt het is echt niet meer te doen.,Negative (frustrated),high,nl,answer_key_sentiment_v2
Een van de beveiligers sprak me heel onvriendelijk aan zonder reden dat vind ik echt niet kunnen.,Negative (frustrated),high,nl,answer_key_sentiment_v2
"Dankjewel, dat helpt!",Positive,high,nl,answer_key_sentiment_v2
"Dit is geen antwoord op mijn vraag, ik wil dit nu opgelost hebben!",Negative (frustrated),high,nl,answer_key_sentiment_v2
"Top, bedankt voor de snelle reactie.",Positive,high,nl,answer_key_sentiment_v2
"Oke duidelijk, dank je.",Positive,high,nl,answer_key_sentiment_v2
"Thanks, that's helpful!",Positive,high,en,answer_key_sentiment_v2
"Mijn e-ticket staat niet in mijn mailbox, ook niet in spam.",Neutral (task-oriented),borderline,nl,answer_key_sentiment_v2
"Ik ben mijn toegangsbewijs verloren tijdens de reis, hoe kom ik binnen?",Neutral (task-oriented),borderline,nl,answer_key_sentiment_v2
I booked last week but never got a confirmation with my ticket.,Neutral (task-oriented),borderline,en,answer_key_sentiment_v2
Mijn telefoon is gestolen en daar stond mijn kaartje op.,Neutral (task-oriented),borderline,nl,answer_key_sentiment_v2
