conversation_id,aantal_vragen,aantal_beantwoord,percentage_beantwoord,eindoordeel,uitleg
00006fc3-c774-4f9c-ab85-3d6018bbc5f8,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
0005f4b8-4ce7-4df2-9daf-538a0dd034ef,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
00088073-1099-4cc5-b006-20cf62acc55d,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.
00149bf6-63d7-42cb-8633-f316956c0251,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
0014ca76-8df1-426c-93f7-e76e554066a7,2,0,0.0,Niet beantwoord,0 van de 2 vragen zijn beantwoord.
001bcf17-9fc6-4977-8121-2b0a075b2866,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
001e07b3-f8bb-4e0f-918f-3e46797ca11c,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
001fcc28-bf70-4018-b58c-0c94d9368e64,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.
0021303c-3049-43e1-bf51-fddba62bb0a2,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.
00223cb8-9af3-483a-94fb-ce4acddcfcc5,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
00245690-d81d-4566-8ffb-d4d243279102,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
0028c93e-68fe-4c4d-9536-562ffc2bdd86,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
00299fa6-8016-4123-b40c-1e8bc8bf03bb,2,1,50.0,Deels beantwoord,1 van de 2 vragen zijn beantwoord.
002a0da4-d34c-451b-9e7a-0e3a0d2a8c20,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
002d2e34-154a-4e9b-af09-08b6a46adb2f,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
00327f1f-d5d8-4d1a-88d3-bf208d60090a,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
0039ebca-9d2e-4532-9f94-09631e81cf12,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
003aeffc-bc36-464d-99cc-017dc147057f,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
003bb6c1-f060-4dc6-9555-d8ce048d402a,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
003cad9e-3845-4d9b-abcf-4f4702ec8793,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
0043bba8-c2fb-4a96-b569-339bccfad2d1,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
004a7cc9-a635-4634-8686-26f426686d47,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.
004b24b5-3bfb-450b-85cf-77ced4e907ea,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
004cbcba-384c-4282-b6a2-1456590c1c2c,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
004cd718-87a7-4ca1-9a0d-4605c733de7c,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
0053c2b6-b264-40a9-a1e2-30b1ae771dec,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
00594985-e0bf-42e7-9c9f-6ea9a01f6d2b,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
005a48ee-450d-44a0-83c0-b5d607e2e11d,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
0060e601-d218-417a-97b0-2e5c90255d24,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
00663796-cc90-49c8-a570-66cdc675377d,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
0068172e-cd91-40a7-badb-8db9fdd96f69,2,0,0.0,Niet beantwoord,0 van de 2 vragen zijn beantwoord.
0069084e-4624-4863-9e54-3fb278258a2e,2,0,0.0,Niet beantwoord,0 van de 2 vragen zijn beantwoord.
0069c953-6162-4727-a712-2dcd5d145dfb,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
006c1a83-5084-462d-9800-281569911cee,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.
006cbd14-46bb-46b4-8bb4-d6d019671e95,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.
006e339c-764e-4114-ba0a-c1b27c56d282,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
00701b02-ff48-4396-9fe5-01914f178a0d,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
00702172-47e9-45c3-8655-89957b826213,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.
00735614-40c8-47ee-9cd7-d3efc35ba24a,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.
00779fee-a915-48df-afe2-02a52dff5713,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
00780cf1-abf2-4427-a08f-2e892f5c4561,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
