conversation_id,created_at,text,language,confidence
0796e0e4-e6f8-4f75-b20e-466abe97ddb0,2026-08-30T12:01:27.924753+00:00,Hoe krijg ik jou weg,nl,0.9662
09752897-d16c-476d-ae76-b8cf9dc94a98,2026-08-30T01:34:42.536505+00:00,Waar is de kiss en ride maandag ik ben heen met iemand ze auto mee gereden en.heb geen idee waar ik terug nu heen moet,nl,0.9969
09752897-d16c-476d-ae76-b8cf9dc94a98,2026-08-30T01:34:59.237795+00:00,Ja,und,0.0
09752897-d16c-476d-ae76-b8cf9dc94a98,2026-08-30T01:35:24.128130+00:00,Is de hoofd ingang bij de mian stage of bij de pussy lounge,nl,0.7673
09752897-d16c-476d-ae76-b8cf9dc94a98,2026-08-30T01:35:53.203870+00:00,Ja,und,0.0
09752897-d16c-476d-ae76-b8cf9dc94a98,2026-08-30T01:36:06.322847+00:00,Ja,und,0.0
098a0909-d5e1-427a-88ac-bda635e9b475,2026-08-30T07:33:54.725664+00:00,Rijd vandaag de pendbus ook?,nl,0.9731
098a0909-d5e1-427a-88ac-bda635e9b475,2026-08-30T08:50:17.452948+00:00,Rijd de pendelbus vandaag ook vanuit tilburg?,nl,0.9977
098a0909-d5e1-427a-88ac-bda635e9b475,2026-08-30T08:59:19.383479+00:00,Wat is de opstapplek van de bus naar decibel?,nl,0.8855
09e95652-e9aa-4162-a526-b5a8d1b2c293,2026-08-30T06:57:20.558490+00:00,Kan ik mijn vriend ophalen op de lakeside parkeerplaats van de camping waar hij geslapen heeft vandaag zonder parkeer ticket,nl,1.0
09e95652-e9aa-4162-a526-b5a8d1b2c293,2026-08-30T06:57:52.534612+00:00,Dat is vanaf de camping heel ver,nl,0.6359
09e95652-e9aa-4162-a526-b5a8d1b2c293,2026-08-30T06:59:04.460877+00:00,Dus met een parkeerticket mag ik daar op hem wachten tot hij naar de auto loopt,nl,0.9901
09e95652-e9aa-4162-a526-b5a8d1b2c293,2026-08-30T09:16:30.207498+00:00,Zou het om kwart over 2 druk zijn bij de lakseside south parkeerplaats op zondags?,nl,0.9988
12ac98bf-388a-425f-b765-12b4d457a5c1,2026-08-30T08:22:43.008215+00:00,Waar kan ik shuttlebus tickets kopen van Tilburg Centraal naar het festivalterrein en die dan ook retour zijn?,nl,0.9929
12ac98bf-388a-425f-b765-12b4d457a5c1,2026-08-30T08:23:07.271183+00:00,Waarom staat er dan campsite tickets bij?,nl,0.8158
12ac98bf-388a-425f-b765-12b4d457a5c1,2026-08-30T08:23:55.261110+00:00,Maar waarom kan ik de normale shuttlebus tickets niet meer kopen? Ik wil niet naar de campsite,nl,0.907
12ac98bf-388a-425f-b765-12b4d457a5c1,2026-08-30T08:24:23.840113+00:00,zondag,nl,0.8611
12ac98bf-388a-425f-b765-12b4d457a5c1,2026-08-30T08:24:47.476324+00:00,Ja,und,0.0
12ac98bf-388a-425f-b765-12b4d457a5c1,2026-08-30T08:25:47.959421+00:00,Stuur mij een link waar ik de zondag tickets voor de bus kan kopen,nl,0.9832
12ac98bf-388a-425f-b765-12b4d457a5c1,2026-08-30T11:50:41.911735+00:00,Hoe leuk gaat het worden vandaag?,nl,0.9899
12ac98bf-388a-425f-b765-12b4d457a5c1,2026-08-30T11:51:05.190278+00:00,Benadruk nogmaals hoe leuk het gaat zijn,nl,0.9986
150b1fad-88a3-4491-9285-d94c10878e8a,2026-08-30T08:27:59.951040+00:00,"Goedemorgen, mijn zoon zit in een elektrische rolstoel. Is er een speciale parkeerplaats waar ik hem kan afzetten en weer kan ophalen?",nl,0.9999
150b1fad-88a3-4491-9285-d94c10878e8a,2026-08-30T08:28:47.159865+00:00,Graag waar die parkeerplaats is en hoe ik die lan vinden,nl,0.9969
150b1fad-88a3-4491-9285-d94c10878e8a,2026-08-30T08:30:01.766883+00:00,Nee dank je hij weet dat dat goed geregeld is. Is parkeerplaata aangegeven dmv borden,nl,0.9986
150b1fad-88a3-4491-9285-d94c10878e8a,2026-08-30T08:30:19.667448+00:00,Ja graag,nl,0.9916
150b1fad-88a3-4491-9285-d94c10878e8a,2026-08-30T08:31:40.181676+00:00,Dank je wel ☺️,und,0.4598
150b1fad-88a3-4491-9285-d94c10878e8a,2026-08-30T08:32:48.689396+00:00,Dank je wel,und,0.4598
1710919c-f784-4a25-bb15-ff78d84876a8,2026-08-30T07:41:28.972457+00:00,"Hallo, mijn vrouw is gister haar iphone 13 verloren bij de mainstage. Hij is uit haar tas gevallen of gestolen. Wij kunnen helaas geen locatie traceren maar hopen dat hij bij jullie is ingeleverd door een eerlijke vinder.",nl,1.0
17b813c9-a768-45ad-a305-317e4a71a2f5,2026-08-30T10:32:01.751305+00:00,Zijn er ook opfrispunten met deo etc.?,nl,0.9354
17b813c9-a768-45ad-a305-317e4a71a2f5,2026-08-30T12:47:12.304306+00:00,Waar op het festivalterrein zijn de powerbank stations,nl,0.8907
17b813c9-a768-45ad-a305-317e4a71a2f5,2026-08-30T12:47:55.240612+00:00,Zit er een powerbank station dichtbij de uptempo,nl,0.8161
1802e1c9-e4a5-4ade-abc0-33fda8ce8655,2026-08-30T07:54:30.607860+00:00,Mijn vriendin is haar telefoon verloren. Hebben jullie een lost & found?,nl,0.9972
1802e1c9-e4a5-4ade-abc0-33fda8ce8655,2026-08-30T07:59:46.534460+00:00,"We waren daar gisteren en vandaag niet meer, kunnen we dan nog steeds bij de Lost and Found stand komen?",nl,0.9983
1802e1c9-e4a5-4ade-abc0-33fda8ce8655,2026-08-30T08:57:12.767065+00:00,Waar moeten naartoe navigeren voor ingang zuid?,nl,0.997
1bdaef0b-2928-4349-a389-16df918a46e9,2026-08-30T08:21:51.018751+00:00,What time did you finish last night?,en,0.8211
1bdaef0b-2928-4349-a389-16df918a46e9,2026-08-30T08:22:12.665151+00:00,Today is Sunday 30th,en,0.8988
1bdaef0b-2928-4349-a389-16df918a46e9,2026-08-30T08:22:37.661174+00:00,What time did the music stop?,en,0.5735
1bdaef0b-2928-4349-a389-16df918a46e9,2026-08-30T08:22:51.305093+00:00,So Sunday 1am?,en,0.7669
1dc0a253-b919-4093-93b6-8d4beea581fd,2026-08-30T09:39:20.010682+00:00,Om 12u hebben we de pool party. Hoelaat en waar moeten we aanwezig zijn.,nl,0.9982
1dc0a253-b919-4093-93b6-8d4beea581fd,2026-08-30T09:39:36.824927+00:00,Jaa graag,nl,0.9984
2186420d-9e43-430b-989a-43ea93f113a1,2026-08-30T06:54:43.382722+00:00,Ik ben mijn tickets kwijt,nl,0.976
2186420d-9e43-430b-989a-43ea93f113a1,2026-08-30T06:58:58.220247+00:00,Ik kan niet meer bij mijn tickets doordat mijn telefoon verloren is,nl,0.9931
2186420d-9e43-430b-989a-43ea93f113a1,2026-08-30T06:59:27.548728+00:00,Ik kan niet in mijn e-mail,nl,0.9616
2186420d-9e43-430b-989a-43ea93f113a1,2026-08-30T07:33:48.562371+00:00,Waar zijn de informatie punten,nl,0.9374
2186420d-9e43-430b-989a-43ea93f113a1,2026-08-30T07:34:40.298063+00:00,Kan ik de informatie punten ook bereiken zonder ticket,nl,0.8919
22ca281e-537d-4078-ae60-3ac831115bf8,2026-08-30T05:15:52.207796+00:00,f5e5b5da82,und,0.4681
22e99039-ae98-45f1-a5d7-e29a837bf076,2026-08-30T11:37:25.780336+00:00,Hoe kom ik met een shuttlebus naar decibel waar ik kan ik dat nu regelen sta nu in Tilburg,nl,0.9839
2b7a5408-d6cd-492a-a896-ef73c9780ab5,2026-08-30T00:18:47.345733+00:00,"Goeieavond, ik ben zaterdag tijdens de eindshow mijn sleutelbos verloren. Mocht deze ergens gevonden zijn waar kan ik hiervoor terecht?",nl,1.0
2c7fe844-8cdb-4bfa-a7d1-e42df5ed1638,2026-08-30T07:51:47.049209+00:00,Hoe koop ik een lockertje,nl,0.9541
2c7fe844-8cdb-4bfa-a7d1-e42df5ed1638,2026-08-30T07:52:24.091102+00:00,Ja linkje mag zeker,nl,0.7676
2c9c7738-2fad-4d52-a6f7-4145c87ab9c3,2026-08-30T06:57:20.066889+00:00,"Hey there,
I will do my plans to visit Decibel 2027 for a first time so , I need to know basic important information about the stay. 
First , do you already know when exactly will you sell the tickets for 2027 ?",en,1.0
2c9c7738-2fad-4d52-a6f7-4145c87ab9c3,2026-08-30T06:58:53.768124+00:00,"Today is the last day of Decibel 2026 , almost passed. 
Another question.  The camping side , are there showers available ?",en,0.9969
2c9c7738-2fad-4d52-a6f7-4145c87ab9c3,2026-08-30T06:59:49.736910+00:00,Not yet. Actually I would like a hotel. I think is better option.,en,0.9718
2c9c7738-2fad-4d52-a6f7-4145c87ab9c3,2026-08-30T07:00:59.775340+00:00,"I will keep an eye what’s coming next for 2027. If I have question , I’ll be here. Thank you.",en,0.8836
3151ae09-babf-4390-96d8-23dee8f71d61,2026-08-30T11:54:10.691680+00:00,stop messaging me,und,0.5064
3c5199ec-97da-44d6-b197-ddb822420d34,2026-08-30T12:36:34.621551+00:00,Hoe kan ik een prio parking ticket kopen voor zondag ?,nl,0.9218
3c5199ec-97da-44d6-b197-ddb822420d34,2026-08-30T12:37:13.476029+00:00,Ja graag,nl,0.9916
4a916ae0-5164-4721-9e2a-bb454f60e83e,2026-08-30T11:04:23.113760+00:00,Wat kost de shuttle bus,und,0.3448
4a916ae0-5164-4721-9e2a-bb454f60e83e,2026-08-30T11:04:57.273989+00:00,"Ja graag, dan koop ik die",nl,0.878
4a916ae0-5164-4721-9e2a-bb454f60e83e,2026-08-30T11:27:35.670875+00:00,Waar gaat de bus,nl,0.7401
4a916ae0-5164-4721-9e2a-bb454f60e83e,2026-08-30T11:31:08.904684+00:00,Hoelaat gaat die,nl,0.9735
4c2f6056-686a-43c0-b4f1-de52bb39c14a,2026-08-30T09:15:28.146412+00:00,See Saturday's recap here: https://ccrbaf.s.gy/dzTiw7?utm_source=momants,en,0.7664
4ceeb9ef-dafd-40d5-b801-2d1fdf2f342f,2026-08-30T00:13:25.466176+00:00,Klacht op de comfort camping waar melden?,nl,0.8059
5270dd13-a20f-40d1-8698-12200f7401cd,2026-08-30T11:13:50.437232+00:00,Thanks,en,0.6996
5270dd13-a20f-40d1-8698-12200f7401cd,2026-08-30T12:53:43.827981+00:00,Ja als je al informatie heb voor volgend jaar zal dat mooi zijn,nl,0.9878
5270dd13-a20f-40d1-8698-12200f7401cd,2026-08-30T12:55:23.544826+00:00,Als er meer bekent is kan je dat dan ook doorsturen via deze WhatsApp,nl,0.8688
5270dd13-a20f-40d1-8698-12200f7401cd,2026-08-30T12:55:47.851020+00:00,Nee dankjewel,nl,0.8802
5a11222d-3512-4cf3-ac04-34962cd1c6c7,2026-08-30T07:20:09.311852+00:00,kan ik iets vragen over de powerbanks ?,nl,0.6606
5a11222d-3512-4cf3-ac04-34962cd1c6c7,2026-08-30T07:21:00.470565+00:00,"ik heb de powerbank maar een uur gehad, maar er is wel 30 euro afgeschreven.",nl,0.959
5a11222d-3512-4cf3-ac04-34962cd1c6c7,2026-08-30T07:23:15.502855+00:00,of was de 30 euro borg ? en krijg ik het resterende terug gestord ?,nl,0.9636
5a11222d-3512-4cf3-ac04-34962cd1c6c7,2026-08-30T07:25:00.978135+00:00,het nummer is niet in gebruikt zegt hij,nl,0.9977
5a11222d-3512-4cf3-ac04-34962cd1c6c7,2026-08-30T07:25:22.413579+00:00,ik ben nu niet meer op het festivalteerein,nl,0.7787
5b59c348-5104-4426-b094-a1ec3a358e77,2026-08-30T07:04:03.267456+00:00,"Kann man d
Zzm spar einkaufen gehen",de,0.9622
5e3d407d-3d9b-4e5f-8ecc-d4df932e06ca,2026-08-30T08:14:55.000497+00:00,f5e5b5da82,und,0.4681
