"conversation_id","gesprek_nr","language","sentiment_start","sentiment_end","has_question","answered","main_topic","subtopic","intent","opmerking"
"2b7b5a15-8a8e-5246-9b97-ad324bf7a51d","1","nl","Neutral (task-oriented)","Neutral (task-oriented)","true","yes","Program","Schedule","Request Information",""
"88d29ae7-a6d0-5ef1-b0ed-3cfe269b99e0","2","nl","Neutral (task-oriented)","Positive","true","yes","Transport","Shuttle","Request Information","vervolgbericht ""Ja graag"" mag geen eigen episode worden"
"9ba8cb83-fdff-527f-aa42-5070d9b5a9dc","3","nl","Neutral (task-oriented)","Neutral (task-oriented)","true","yes","Venue","Lockers","Request Information",""
"38e901d6-5550-5649-8db4-569abcd3516d","4","nl","Neutral (task-oriented)","Neutral (task-oriented)","true","yes","Access","Upgrade","Perform Transaction / Change",""
"4bd312f5-6372-5d6a-9e13-8e96fcadb741","5","nl","Neutral (task-oriented)","Neutral (task-oriented)","true","yes","Venue","Amenities","Request Information",""
"556c9810-177b-5335-8898-3a28ecb21178","6","nl","Neutral (task-oriented)","Neutral (task-oriented)","true","yes","Venue","Rules","Request Information",""
"daba352f-d83e-5112-97b6-893cbb2b741e","7","nl","Negative (frustrated)","Positive","true","yes","Venue","LostFound","Resolve Problem or Incident","geen vraagteken; on-site doorverwijzing = beantwoord"
"56431006-e602-5075-9bc5-d2c131763374","8","nl","Neutral (task-oriented)","Neutral (task-oriented)","true","yes","Venue","Lockers","Request Information","telegramstijl, geen vraagteken"
"c4a52e87-99c5-557a-8957-f3b7fbba70e3","9","nl","Negative (frustrated)","Negative (frustrated)","true","yes","Venue","Noise","Resolve Problem or Incident","geen vraagteken"
"b3b42dff-dac7-5fbc-bfa9-9217fb0e10d7","10","nl","Negative (frustrated)","Neutral (task-oriented)","true","yes","Access","Lost","Resolve Problem or Incident","geen vraagteken"
"df952f64-16cb-5bca-85f6-e10ca84041ec","11","nl","Neutral (task-oriented)","Neutral (task-oriented)","true","yes","Venue","Map","Active Navigation Help","geen vraagteken"
"27245162-edcd-5878-93f4-cbbed86296fd","12","nl","Neutral (task-oriented)","Negative (frustrated)","true","no","Program","General","Request Information","fallback -> niet beantwoord, sentiment wordt negatief"
"0586c631-e5d6-5ce9-93b5-80ad265c11d7","13","nl","Neutral (task-oriented)","Neutral (task-oriented)","true","no","Transport","Parking","Request Information","fallback"
"e232f59d-595e-5a23-a30f-2b3812228612","14","nl","Neutral (task-oriented)","Neutral (task-oriented)","true","no","Venue","Charging","Request Information","fallback"
"7b73073a-daaf-5f32-810b-c2c9b54c8401","15","nl","Neutral (task-oriented)","Neutral (task-oriented)","true","no","Venue","Rules","Request Information","fallback"
"d46795d9-869c-5433-baea-c64753fae947","16","nl","Neutral (task-oriented)","Negative (frustrated)","true","no","Payments","Refund","Request Information","fallback"
"17cb7462-9758-510b-bea1-8b671ef2ec1f","17","nl","Neutral (task-oriented)","Neutral (task-oriented)","true","no","Program","General","Request Information","belofte, geen antwoord"
"562ea53b-8f12-5b01-a4ea-1297a66f2919","18","nl","Neutral (task-oriented)","Neutral (task-oriented)","true","no","Venue","Shops","Request Information","belofte"
"6984de04-5921-5a1b-a8d0-484517aaf7d1","19","nl","Neutral (task-oriented)","Neutral (task-oriented)","true","no","Venue","CheckIn","Request Information","mail-doorverwijzing"
"2f101f5c-67ad-5a19-9dc4-63fed0da2d3a","20","nl","Neutral (task-oriented)","Negative (frustrated)","true","no","Access","Rename","Perform Transaction / Change","mail-doorverwijzing"
"1d6e5161-365c-5134-ad64-46e6c44fa9cd","21","nl","Negative (frustrated)","Negative (frustrated)","true","no","Venue","CabinAccess","Resolve Problem or Incident","telefoon-doorverwijzing, blijft gefrustreerd"
"71588a13-ad68-58d8-9a5e-3bd8c5c821a2","22","nl","Negative (frustrated)","Positive","true","yes","Access","Wristband","Resolve Problem or Incident","on-site doorverwijzing = beantwoord"
"c5d4d3cf-a25b-56c5-ba16-cf276e4f1575","23","nl","Negative (frustrated)","Neutral (task-oriented)","true","yes","Venue","LostFound","Resolve Problem or Incident",""
"ce9ac876-270c-59df-996c-f616723f3138","24","nl","Negative (frustrated)","Positive","true","yes","Payments","Balance","Resolve Problem or Incident","boos -> opgelost"
"2d6173fb-b52e-5e4f-aae3-0ad38190d74c","25","und","","","false","n.a.","","","","alleen knopdruk + marketing; geen echt bezoekersbericht, taal en sentiment n.v.t."
"8e8b3388-2cb8-57e9-b97b-01d11e3c455a","26","und","","","false","n.a.","","","","alleen knopdrukken; geen echt bezoekersbericht, taal en sentiment n.v.t."
"b46e3517-607f-5815-96bd-dc32bc6ed5f0","27","nl","Positive","Positive","false","n.a.","","","","alleen bedankje"
"68e55fa1-b1e8-5604-8d04-71b0256165d5","28","und","Neutral (task-oriented)","Neutral (task-oriented)","false","n.a.","","","","te kort, geen behoefte; te kort voor taaldetectie"
"abbc594a-63dc-5517-9733-5e080c62d88d","29","nl","Positive","Positive","false","n.a.","","","","alleen bedankje"
"0d0c71d4-69bd-55d6-9f48-aa086855f659","30","und","","","false","n.a.","","","","alleen opt-in; geen echt bezoekersbericht, taal en sentiment n.v.t."
"a0960cbd-7995-53f5-a9cf-4962db8922c9","31","en","Neutral (task-oriented)","Neutral (task-oriented)","true","yes","Transport","Shuttle","Request Information",""
"98adecb7-e0a0-5f83-87d3-fd59e864c55a","32","en","Neutral (task-oriented)","Neutral (task-oriented)","true","yes","Venue","Amenities","Request Information",""
"503eb262-2c0b-5f91-8491-fd0a72bff29d","33","en","Negative (frustrated)","Positive","true","yes","Access","Scanning","Resolve Problem or Incident","geen vraagteken, Engels"
"5a4ee559-14a2-5a02-9779-7a23cfabe5a4","34","en","Negative (frustrated)","Negative (frustrated)","true","no","Venue","LostFound","Resolve Problem or Incident","fallback + mail, geen vraagteken"
"89a25f3f-e57f-54ac-96fe-6c057226abc6","35","en","Neutral (task-oriented)","Neutral (task-oriented)","true","no","Transport","Transit","Request Information","fallback, geen vraagteken"
"cf0ef829-f6bf-57dd-ab06-d95268c5975b","36","en","Neutral (task-oriented)","Neutral (task-oriented)","true","yes","Venue","ReEntry","Active Navigation Help",""
"99d1260c-d9a3-5dbe-b000-9d0b3fa79e24","37","de","Neutral (task-oriented)","Neutral (task-oriented)","true","yes","Transport","Parking","Request Information",""
"24c40ca2-f8f1-5379-862d-f8684bd6dc1e","38","de","Neutral (task-oriented)","Neutral (task-oriented)","true","no","Venue","CheckIn","Request Information","fallback, Duits"
"78eaf8f2-fa37-52f8-aa9e-383c017e73ff","39","de","Negative (frustrated)","Positive","true","yes","Access","Wristband","Resolve Problem or Incident","geen vraagteken, Duits"
"c2ed83de-e28a-5036-a0ad-8e406abcf25c","40","overig","Neutral (task-oriented)","Neutral (task-oriented)","true","no","Venue","CheckIn","Request Information","Italiaans, fallback"
"138eb5ef-f1c4-5921-8f48-7884ddeaa75d","41","overig","Negative (frustrated)","Neutral (task-oriented)","true","yes","Venue","LostFound","Resolve Problem or Incident","Frans, on-site doorverwijzing"
"94463ed0-2fe3-5f56-8ab4-40c185051493","42","overig","Neutral (task-oriented)","Neutral (task-oriented)","true","yes","Transport","Shuttle","Request Information","Spaans"
"53c2890a-0cc7-5eb8-b585-5a9674fcb45a","43","overig","Neutral (task-oriented)","Neutral (task-oriented)","true","yes","Program","Schedule","Request Information","Frans"
"ab96f21b-c36f-5c27-8f43-a5f9436a49ec","44","nl","Neutral (task-oriented)","Positive","true","yes","Transport","Shuttle","Request Information","drie berichten, twee echte behoeften, ""Ja"" is vervolg"
"fcc733d1-8d3a-56bb-8bf9-978284ec1df5","45","nl","Neutral (task-oriented)","Negative (frustrated)","true","no","Access","Upgrade","Perform Transaction / Change","tegenvraag, dan fallback -> niet beantwoord"
"b7505b3a-601b-537c-a452-818fd920be3a","46","en","Neutral (task-oriented)","Positive","true","yes","Venue","Map","Active Navigation Help","tegenvraag, bezoeker sluit af"
"3c69e03a-1dff-5761-9c11-e06cd5d95e1c","47","nl","Negative (frustrated)","Negative (frustrated)","true","yes","Venue","Emergency","Report Emergency","noodgeval, urgentie hoort op intentie-as"
"3066203b-5344-5c9c-8e1e-933a39c30c17","48","nl","Negative (frustrated)","Negative (frustrated)","true","yes","Venue","Amenities","Resolve Problem or Incident","blijft gefrustreerd ondanks antwoord"
