conversation_id,sentiment_customer_message_count,sentiment_starting_sentiment,sentiment_starting_confidence,sentiment_ending_sentiment,sentiment_ending_confidence,sentiment_explanation,answer_check_aantal_vragen,answer_check_aantal_beantwoord,answer_check_percentage_beantwoord,answer_check_telt_mee,answer_check_eindoordeel,answer_check_uitleg,intent_intent_count,intent_intents,topic_topic_count,topic_topics,language_language,language_confidence,language_is_multilingual
01174b4c-7b65-45d3-aa20-b43f67e5308a,,,,,,,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,0,,und,0.0,False
0706239c-6005-438f-9e4e-dc0eff98f437,,,,,,,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,0,,und,0.0,False
0796e0e4-e6f8-4f75-b20e-466abe97ddb0,1.0,Negative (frustrated),0.6703,Negative (frustrated),0.6703,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 1 usable customer message.",1,0,0.0,True,Niet beantwoord,0 van de 1 vraag is beantwoord.,1,Operate System [confidence=0.5025; first_detected_at=2026-08-30T12:01:27.924753+00:00],0,,nl,1.0,False
08c5f8b1-66e8-4a39-9ae7-127a66346d3f,,,,,,,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,0,,und,0.0,False
09752897-d16c-476d-ae76-b8cf9dc94a98,5.0,Negative (frustrated),0.394,Positive,0.2993,"The conversation starts negative (frustrated) and ends positive, based on 5 usable customer messages.",1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.,2,Active Navigation Help [confidence=0.5063; first_detected_at=2026-08-30T01:34:42.536505+00:00] ||| Request Information [confidence=0.6395; first_detected_at=2026-08-30T01:35:24.128130+00:00],2,Transport > Parking [similarity=0.4750; first_detected_at=2026-08-30T01:34:42.536505+00:00] ||| Venue > Map [similarity=0.4775; first_detected_at=2026-08-30T01:35:24.128130+00:00],nl,1.0,False
098a0909-d5e1-427a-88ac-bda635e9b475,3.0,Neutral (task-oriented),0.8824,Neutral (task-oriented),0.9441,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 3 usable customer messages.",1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.,2,Request Information [confidence=0.6945; first_detected_at=2026-08-30T07:33:54.725664+00:00] ||| Active Navigation Help [confidence=0.5457; first_detected_at=2026-08-30T08:59:19.383479+00:00],3,Transport > Parking [similarity=0.4201; first_detected_at=2026-08-30T07:33:54.725664+00:00] ||| Transport > Shuttle [similarity=0.5153; first_detected_at=2026-08-30T08:50:17.452948+00:00] ||| Venue > Noise [similarity=0.4870; first_detected_at=2026-08-30T08:59:19.383479+00:00],nl,1.0,False
09e95652-e9aa-4162-a526-b5a8d1b2c293,4.0,Neutral (task-oriented),0.8182,Neutral (task-oriented),0.9432,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 4 usable customer messages.",1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.,2,Request Information [confidence=0.4428; first_detected_at=2026-08-30T06:57:20.558490+00:00] ||| Active Navigation Help [confidence=0.3955; first_detected_at=2026-08-30T06:57:52.534612+00:00],3,Venue > CabinAccess [similarity=0.5490; first_detected_at=2026-08-30T06:57:20.558490+00:00] ||| Venue > Amenities [similarity=0.3958; first_detected_at=2026-08-30T06:57:52.534612+00:00] ||| Transport > Parking [similarity=0.5931; first_detected_at=2026-08-30T06:59:04.460877+00:00],nl,1.0,False
0c3c2968-ab18-44e6-ade7-ab892021040c,,,,,,,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,0,,und,0.0,False
0cd57727-a0c4-4db1-9771-a9bd6f084a05,,,,,,,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,0,,und,0.0,False
12ac98bf-388a-425f-b765-12b4d457a5c1,8.0,Neutral (task-oriented),0.9402,Positive,0.5387,"The conversation starts neutral (task-oriented) and ends positive, based on 8 usable customer messages.",1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.,2,Request Information [confidence=0.6582; first_detected_at=2026-08-30T08:22:43.008215+00:00] ||| Resolve Problem or Incident [confidence=0.4720; first_detected_at=2026-08-30T08:23:55.261110+00:00],4,Transport > Shuttle [similarity=0.7061; first_detected_at=2026-08-30T08:22:43.008215+00:00] ||| Venue > CabinAccess [similarity=0.5828; first_detected_at=2026-08-30T08:23:07.271183+00:00] ||| Access > Upgrade [similarity=0.6186; first_detected_at=2026-08-30T08:23:55.261110+00:00] ||| Program > Schedule [similarity=0.4000; first_detected_at=2026-08-30T08:24:23.840113+00:00],nl,1.0,False
14dba487-6b83-4e71-a5dc-5f2a9f8472e0,,,,,,,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,0,,und,0.0,False
150b1fad-88a3-4491-9285-d94c10878e8a,6.0,Positive,0.7338,Positive,0.4201,"The conversation starts positive and ends positive, based on 6 usable customer messages.",1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.,1,Request Information [confidence=0.6209; first_detected_at=2026-08-30T08:27:59.951040+00:00],1,Transport > Parking [similarity=0.4438; first_detected_at=2026-08-30T08:27:59.951040+00:00],nl,1.0,False
15e71aa7-3cc5-48b5-a21f-76a557989b98,,,,,,,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,0,,und,0.0,False
1710919c-f784-4a25-bb15-ff78d84876a8,1.0,Negative (frustrated),0.7069,Negative (frustrated),0.7069,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 1 usable customer message.",1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.,1,Resolve Problem or Incident [confidence=0.6155; first_detected_at=2026-08-30T07:41:28.972457+00:00],1,Venue > LostFound [similarity=0.6255; first_detected_at=2026-08-30T07:41:28.972457+00:00],nl,1.0,False
1742addb-36cb-41cb-87ca-ae7a030fe3b3,,,,,,,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,0,,und,0.0,False
17b813c9-a768-45ad-a305-317e4a71a2f5,3.0,Neutral (task-oriented),0.5213,Neutral (task-oriented),0.911,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 3 usable customer messages.",1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.,1,Request Information [confidence=0.8802; first_detected_at=2026-08-30T10:32:01.751305+00:00],3,Program > Schedule [similarity=0.3253; first_detected_at=2026-08-30T10:32:01.751305+00:00] ||| Venue > Amenities [similarity=0.5035; first_detected_at=2026-08-30T12:47:12.304306+00:00] ||| Venue > Charging [similarity=0.5375; first_detected_at=2026-08-30T12:47:55.240612+00:00],nl,1.0,False
17c6cc22-ef9f-472c-8b58-19c1cddebc97,,,,,,,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,0,,und,0.0,False
1802e1c9-e4a5-4ade-abc0-33fda8ce8655,3.0,Negative (frustrated),0.7032,Neutral (task-oriented),0.9388,"The conversation starts negative (frustrated) and ends neutral (task-oriented), based on 3 usable customer messages.",1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.,3,Resolve Problem or Incident [confidence=0.5905; first_detected_at=2026-08-30T07:54:30.607860+00:00] ||| Request Information [confidence=0.5921; first_detected_at=2026-08-30T07:59:46.534460+00:00] ||| Active Navigation Help [confidence=0.8945; first_detected_at=2026-08-30T08:57:12.767065+00:00],3,Access > Wristband [similarity=0.5880; first_detected_at=2026-08-30T07:54:30.607860+00:00] ||| Venue > LostFound [similarity=0.4387; first_detected_at=2026-08-30T07:59:46.534460+00:00] ||| Venue > Map [similarity=0.4856; first_detected_at=2026-08-30T08:57:12.767065+00:00],nl,1.0,False
187d831f-1702-4c05-8d75-bf6b07d52405,,,,,,,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,0,,und,0.0,False
1b4e4803-2257-46e2-8629-26762dd2265c,,,,,,,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,0,,und,0.0,False
1bdaef0b-2928-4349-a389-16df918a46e9,4.0,Neutral (task-oriented),0.9213,Neutral (task-oriented),0.7067,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 4 usable customer messages.",1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.,1,Request Information [confidence=0.3891; first_detected_at=2026-08-30T08:21:51.018751+00:00],1,Program > Schedule [similarity=0.3693; first_detected_at=2026-08-30T08:21:51.018751+00:00],en,1.0,False
1be703b4-43d3-42cb-8180-f2071312c727,,,,,,,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,0,,und,0.0,False
1c12123b-c78b-417f-bfa0-2548cff3c46c,,,,,,,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,0,,und,0.0,False
1dc0a253-b919-4093-93b6-8d4beea581fd,2.0,Neutral (task-oriented),0.8811,Negative (frustrated),0.315,"The conversation starts neutral (task-oriented) and ends negative (frustrated), based on 2 usable customer messages.",1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.,1,Request Information [confidence=0.8152; first_detected_at=2026-08-30T09:39:20.010682+00:00],1,Program > Schedule [similarity=0.4088; first_detected_at=2026-08-30T09:39:20.010682+00:00],nl,1.0,False
1de4edb5-3cb9-4ba8-b783-b5b9ff632492,,,,,,,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,0,,und,0.0,False
1fbb58df-aced-4a64-a4e7-5e23bdf0edeb,,,,,,,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,0,,und,0.0,False
20e31a80-f5ed-4182-92c3-c0764798d4bd,,,,,,,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,0,,und,0.0,False
2186420d-9e43-430b-989a-43ea93f113a1,5.0,Negative (frustrated),0.3201,Neutral (task-oriented),0.8454,"The conversation starts negative (frustrated) and ends neutral (task-oriented), based on 5 usable customer messages.",2,1,50.0,True,Deels beantwoord,1 van de 2 vragen zijn beantwoord.,2,Resolve Problem or Incident [confidence=0.9588; first_detected_at=2026-08-30T06:54:43.382722+00:00] ||| Request Information [confidence=0.6300; first_detected_at=2026-08-30T07:33:48.562371+00:00],2,Access > Lost [similarity=0.6370; first_detected_at=2026-08-30T06:54:43.382722+00:00] ||| Transport > Parking [similarity=0.5841; first_detected_at=2026-08-30T07:34:40.298063+00:00],nl,1.0,False
22ca281e-537d-4078-ae60-3ac831115bf8,1.0,Neutral (task-oriented),0.8961,Neutral (task-oriented),0.8961,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message.",0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,1,Access > Scanning [similarity=0.2907; first_detected_at=2026-08-30T05:15:52.207796+00:00],und,0.0,False
22e99039-ae98-45f1-a5d7-e29a837bf076,1.0,Neutral (task-oriented),0.9072,Neutral (task-oriented),0.9072,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message.",1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.,1,Active Navigation Help [confidence=0.6105; first_detected_at=2026-08-30T11:37:25.780336+00:00],1,Transport > Shuttle [similarity=0.5787; first_detected_at=2026-08-30T11:37:25.780336+00:00],nl,1.0,False
24be083f-a87d-49aa-a895-b2c77460217a,,,,,,,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,0,,und,0.0,False
25b1669f-8ed2-44ac-aa06-f9afe8595781,,,,,,,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,0,,und,0.0,False
