conversation_id,aantal_vragen,aantal_beantwoord,percentage_beantwoord,eindoordeel,uitleg,gesprekstekst
0103cf17-7e89-4ad5-991c-b18d818ec166,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,"Bezoeker: De toiletten bij vak 4 zijn al uren niet schoongemaakt, het is echt niet meer te doen.
Agent: Onze excuses, we sturen direct schoonmaakpersoneel naar vak 4.
Bezoeker: Mijn ticket scant niet bij de ingang, dit is al de derde keer dat ik het probeer!
Agent: Wat vervelend! Loop naar de kassa bij ingang Noord, daar kunnen ze je ticket handmatig valideren."
016b6ad0-4a3f-4643-a29d-ce2e97d9e92f,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.,"Bezoeker: Is er een plek waar ik mijn powerbank kan opladen?
Agent: Bij het oplaadpunt naast de infobalie kun je gratis je telefoon of powerbank opladen.
Bezoeker: Dankjewel, dat helpt!
Agent: Graag gedaan, nog een fijn festival verder!"
01cf8b53-0970-41a1-a935-afc633d43918,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.,"Bezoeker: Ik heb mijn ticketmail niet ontvangen, kun je helpen?
Agent: Check ook je spamfolder, en anders sturen we 'm opnieuw naar je e-mailadres."
043a69ce-6eb8-4a18-b8cb-ff0f7d0e9c0f,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,"Bezoeker: Mijn ticket scant niet bij de ingang, dit is al de derde keer dat ik het probeer!
Agent: Wat vervelend! Loop naar de kassa bij ingang Noord, daar kunnen ze je ticket handmatig valideren."
07043831-9ad6-45f6-b956-5ba5e63a9a92,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,"Bezoeker: De toiletten bij vak 4 zijn al uren niet schoongemaakt, het is echt niet meer te doen.
Agent: Dat komt vast nog wel.
Bezoeker: Dit is geen antwoord op mijn vraag, ik wil dit nu opgelost hebben!"
08ea8523-94e5-4044-8327-28f444cf5f37,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.,Bezoeker: Kan ik de naam op mijn ticket nog wijzigen?
0c6f5653-d431-4e90-8ec0-f6f59bfeed5b,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,"Bezoeker: We staan al 40 minuten bij de camping-ingang en er gebeurt helemaal niets, dit is echt te gek voor woorden!
Agent: Het is druk, heb geduld.
Bezoeker: Dit is geen antwoord op mijn vraag, ik wil dit nu opgelost hebben!"
0e8926d1-ef5b-48d2-aa75-6cca0cb445da,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.,"Bezoeker: Waar kan ik mijn fiets stallen dichtbij de ingang?
Agent: Er is een bewaakte fietsenstalling bij ingang West, zo'n 200 meter van de hoofdingang.
Bezoeker: Dankjewel, dat helpt!
Agent: Graag gedaan, nog een fijn festival verder!"
0ed90c95-2a73-4393-a7fd-a76c98503dec,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,"Bezoeker: Er ligt iemand bewusteloos bij podium 2, we hebben nu hulp nodig!
Agent: Loop naar de EHBO-post.
Bezoeker: Dit is geen antwoord op mijn vraag, ik wil dit nu opgelost hebben!"
12b8fd19-95f0-4346-83be-5a7f78dac1e4,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.,"Bezoeker: Kan ik mijn dagticket omzetten naar een weekendticket?
Agent: Dat kan zolang er nog weekendtickets beschikbaar zijn, via de upgrade-knop in je account.
Bezoeker: Dankjewel, dat helpt!
Agent: You're welcome, enjoy the festival!"
