conversation_id,aantal_vragen,aantal_beantwoord,percentage_beantwoord,telt_mee,eindoordeel,uitleg
0014ca76-8df1-426c-93f7-e76e554066a7,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
00e8656f-ce94-4e5b-961c-72d22e6b4e32,1,1,100.0,True,Beantwoord,1 van de 1 vragen zijn beantwoord.
01174b4c-7b65-45d3-aa20-b43f67e5308a,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
0176a3ab-3734-4adf-9d92-69977397e2db,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
039f60a2-d401-4ec6-bf10-bba0dffa074c,1,0,0.0,True,Niet beantwoord,0 van de 1 vragen zijn beantwoord.
0484766d-989c-4d21-80c0-10beeb4c4145,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
04c7e864-c8fc-4318-b01b-fa60a63a8938,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
06db2728-1e54-4424-bfd3-9b327ef0c77a,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
0706239c-6005-438f-9e4e-dc0eff98f437,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
0796e0e4-e6f8-4f75-b20e-466abe97ddb0,1,0,0.0,True,Niet beantwoord,0 van de 1 vragen zijn beantwoord.
08c5f8b1-66e8-4a39-9ae7-127a66346d3f,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
08e2b321-f370-49c9-9cc4-ae5e13c637a5,1,1,100.0,True,Beantwoord,1 van de 1 vragen zijn beantwoord.
09752897-d16c-476d-ae76-b8cf9dc94a98,1,1,100.0,True,Beantwoord,1 van de 1 vragen zijn beantwoord.
098a0909-d5e1-427a-88ac-bda635e9b475,1,1,100.0,True,Beantwoord,1 van de 1 vragen zijn beantwoord.
09e95652-e9aa-4162-a526-b5a8d1b2c293,1,1,100.0,True,Beantwoord,1 van de 1 vragen zijn beantwoord.
0a84b59b-0cd4-4e2e-a9db-ca878ac115cd,1,1,100.0,True,Beantwoord,1 van de 1 vragen zijn beantwoord.
0b65e65b-ead9-4fc5-90fe-5cd69faebcf4,1,1,100.0,True,Beantwoord,1 van de 1 vragen zijn beantwoord.
0b71b58f-17d3-4946-aaf5-43d38b729f3e,1,1,100.0,True,Beantwoord,1 van de 1 vragen zijn beantwoord.
0c3c2968-ab18-44e6-ade7-ab892021040c,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
0cd57727-a0c4-4db1-9771-a9bd6f084a05,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
0ceffcc9-c13c-444a-85a2-ba247b1da8d5,1,1,100.0,True,Beantwoord,1 van de 1 vragen zijn beantwoord.
0d506de1-e6a0-48ea-a96c-df6cdac9fdcf,1,1,100.0,True,Beantwoord,1 van de 1 vragen zijn beantwoord.
0d6137c3-2721-43fa-8fa2-e3887929b7f7,1,0,0.0,True,Niet beantwoord,0 van de 1 vragen zijn beantwoord.
0e3866c1-40ab-4737-a7f9-da82a2d02000,1,0,0.0,True,Niet beantwoord,0 van de 1 vragen zijn beantwoord.
10a8515f-86ee-45b4-b1df-d98f4511dd11,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
