tekst,intentie
"Welke openingstijden gelden er?","Informatie opvragen"
"Wat zijn de voorwaarden van deze dienst?","Informatie opvragen"
"Hoeveel kost het standaardpakket?","Informatie opvragen"
"Wanneer ontvang ik een bevestiging?","Informatie opvragen"
"Waar kan ik meer uitleg over deze functie lezen?","Informatie opvragen"
"Welke documenten heb ik hiervoor nodig?","Informatie opvragen"
"De pagina geeft steeds een foutmelding.","Probleem of Incident oplossen"
"Mijn invoer wordt niet opgeslagen.","Probleem of Incident oplossen"
"De verbinding valt telkens weg.","Probleem of Incident oplossen"
"Ik kan niet meer inloggen terwijl mijn gegevens kloppen.","Probleem of Incident oplossen"
"De knop reageert niet wanneer ik erop klik.","Probleem of Incident oplossen"
"Er lijkt iets mis te gaan bij het laden.","Probleem of Incident oplossen"
"Ik wil mijn afspraak verplaatsen.","Transactie / Mutatie uitvoeren"
"Kun je mijn adres aanpassen?","Transactie / Mutatie uitvoeren"
"Ik wil deze bestelling annuleren.","Transactie / Mutatie uitvoeren"
"Schrijf mij in voor de volgende beschikbare datum.","Transactie / Mutatie uitvoeren"
"Ik wil mijn abonnement wijzigen.","Transactie / Mutatie uitvoeren"
"Maak een nieuwe aanvraag voor mij aan.","Transactie / Mutatie uitvoeren"
"Waar moet ik klikken om mijn gegevens te vinden?","Actievere Navigatiehulp"
"Kun je mij stap voor stap naar het formulier leiden?","Actievere Navigatiehulp"
"Ik kan de juiste pagina niet vinden.","Actievere Navigatiehulp"
"Wijs me waar de downloadknop staat.","Actievere Navigatiehulp"
"Hoe kom ik vanuit het startscherm bij de instellingen?","Actievere Navigatiehulp"
"Help mij naar het overzicht met mijn aanvragen.","Actievere Navigatiehulp"
"Open het instellingenmenu.","Systeem bedienen"
"Start de controle opnieuw.","Systeem bedienen"
"Log mij uit van dit apparaat.","Systeem bedienen"
"Zet de meldingen uit.","Systeem bedienen"
"Laat het systeem de pagina vernieuwen.","Systeem bedienen"
"Activeer de donkere weergave.","Systeem bedienen"
"Er is direct hulp nodig vanwege een gevaarlijke situatie.","Noodgeval melden"
"Ik moet met spoed iemand spreken.","Noodgeval melden"
"Er is een noodgeval en we hebben nu ondersteuning nodig.","Noodgeval melden"
"De situatie is onveilig en kan niet wachten.","Noodgeval melden"
"Stuur onmiddellijk hulp voor een ernstig incident.","Noodgeval melden"
"Dit is acuut en vereist directe actie.","Noodgeval melden"
