conversation_id,aantal_bezoekersberichten,sentiment_start,zekerheid_start,sentiment_eind,zekerheid_eind,uitleg
0005f4b8-4ce7-4df2-9daf-538a0dd034ef,2,Neutraal (taakgericht),0.9115,Neutraal (taakgericht),0.9112,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 2 bruikbare bezoekersberichten."
00088073-1099-4cc5-b006-20cf62acc55d,2,Neutraal (taakgericht),0.5977,Neutraal (taakgericht),0.8667,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 2 bruikbare bezoekersberichten."
00149bf6-63d7-42cb-8633-f316956c0251,1,Neutraal (taakgericht),0.8623,Neutraal (taakgericht),0.8623,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
0014ca76-8df1-426c-93f7-e76e554066a7,2,Neutraal (taakgericht),0.9215,Neutraal (taakgericht),0.9116,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 2 bruikbare bezoekersberichten."
001bcf17-9fc6-4977-8121-2b0a075b2866,2,Neutraal (taakgericht),0.3278,Neutraal (taakgericht),0.7414,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 2 bruikbare bezoekersberichten."
001fcc28-bf70-4018-b58c-0c94d9368e64,1,Neutraal (taakgericht),0.8475,Neutraal (taakgericht),0.8475,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
0021303c-3049-43e1-bf51-fddba62bb0a2,1,Neutraal (taakgericht),0.9375,Neutraal (taakgericht),0.9375,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
0028c93e-68fe-4c4d-9536-562ffc2bdd86,1,Neutraal (taakgericht),0.4455,Neutraal (taakgericht),0.4455,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00299fa6-8016-4123-b40c-1e8bc8bf03bb,3,Neutraal (taakgericht),0.8677,Negatief (gefrustreerd),0.4798,"Het gesprek begint neutraal (taakgericht) en eindigt negatief (gefrustreerd), op basis van 3 bruikbare bezoekersberichten."
002a0da4-d34c-451b-9e7a-0e3a0d2a8c20,1,Boos (paniek),0.5579,Boos (paniek),0.5579,"Het gesprek begint boos (paniek) en eindigt boos (paniek), op basis van 1 bruikbaar bezoekersbericht."
00327f1f-d5d8-4d1a-88d3-bf208d60090a,1,Neutraal (taakgericht),0.8952,Neutraal (taakgericht),0.8952,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
0039ebca-9d2e-4532-9f94-09631e81cf12,1,Neutraal (taakgericht),0.8747,Neutraal (taakgericht),0.8747,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
003bb6c1-f060-4dc6-9555-d8ce048d402a,1,Neutraal (taakgericht),0.8076,Neutraal (taakgericht),0.8076,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
004a7cc9-a635-4634-8686-26f426686d47,2,Neutraal (taakgericht),0.9258,Neutraal (taakgericht),0.8368,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 2 bruikbare bezoekersberichten."
004b24b5-3bfb-450b-85cf-77ced4e907ea,1,Neutraal (taakgericht),0.922,Neutraal (taakgericht),0.922,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
004cbcba-384c-4282-b6a2-1456590c1c2c,1,Negatief (gefrustreerd),0.3405,Negatief (gefrustreerd),0.3405,"Het gesprek begint negatief (gefrustreerd) en eindigt negatief (gefrustreerd), op basis van 1 bruikbaar bezoekersbericht."
004cd718-87a7-4ca1-9a0d-4605c733de7c,2,Neutraal (taakgericht),0.9189,Neutraal (taakgericht),0.9189,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 2 bruikbare bezoekersberichten."
00594985-e0bf-42e7-9c9f-6ea9a01f6d2b,4,Neutraal (taakgericht),0.8872,Negatief (gefrustreerd),0.5037,"Het gesprek begint neutraal (taakgericht) en eindigt negatief (gefrustreerd), op basis van 4 bruikbare bezoekersberichten."
005a48ee-450d-44a0-83c0-b5d607e2e11d,1,Neutraal (taakgericht),0.9061,Neutraal (taakgericht),0.9061,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
0060e601-d218-417a-97b0-2e5c90255d24,1,Neutraal (taakgericht),0.9214,Neutraal (taakgericht),0.9214,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00663796-cc90-49c8-a570-66cdc675377d,1,Neutraal (taakgericht),0.9145,Neutraal (taakgericht),0.9145,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
0068172e-cd91-40a7-badb-8db9fdd96f69,2,Neutraal (taakgericht),0.945,Neutraal (taakgericht),0.9268,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 2 bruikbare bezoekersberichten."
0069084e-4624-4863-9e54-3fb278258a2e,2,Neutraal (taakgericht),0.8745,Neutraal (taakgericht),0.9363,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 2 bruikbare bezoekersberichten."
0069c953-6162-4727-a712-2dcd5d145dfb,1,Neutraal (taakgericht),0.8828,Neutraal (taakgericht),0.8828,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
006c1a83-5084-462d-9800-281569911cee,1,Positief,0.9019,Positief,0.9019,"Het gesprek begint positief en eindigt positief, op basis van 1 bruikbaar bezoekersbericht."
006cbd14-46bb-46b4-8bb4-d6d019671e95,1,Neutraal (taakgericht),0.7612,Neutraal (taakgericht),0.7612,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
006e339c-764e-4114-ba0a-c1b27c56d282,2,Neutraal (taakgericht),0.882,Neutraal (taakgericht),0.7355,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 2 bruikbare bezoekersberichten."
00702172-47e9-45c3-8655-89957b826213,1,Neutraal (taakgericht),0.7305,Neutraal (taakgericht),0.7305,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00735614-40c8-47ee-9cd7-d3efc35ba24a,1,Neutraal (taakgericht),0.9356,Neutraal (taakgericht),0.9356,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00780cf1-abf2-4427-a08f-2e892f5c4561,3,Neutraal (taakgericht),0.9225,Neutraal (taakgericht),0.9225,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 3 bruikbare bezoekersberichten."
007980ab-fdba-49f5-9dd4-24c8cd698870,1,Neutraal (taakgericht),0.9248,Neutraal (taakgericht),0.9248,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
0085c435-fe5a-48af-91b6-1629748ed729,3,Neutraal (taakgericht),0.9066,Positief,0.5536,"Het gesprek begint neutraal (taakgericht) en eindigt positief, op basis van 3 bruikbare bezoekersberichten."
0087972c-6c08-4ab9-a945-2639203b192a,1,Neutraal (taakgericht),0.9355,Neutraal (taakgericht),0.9355,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
0089c5cb-bab8-4582-9603-8b522eaeaf1e,5,Neutraal (taakgericht),0.9065,Neutraal (taakgericht),0.669,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 5 bruikbare bezoekersberichten."
008a217c-3514-4303-b85e-50af45ffcbd2,1,Neutraal (taakgericht),0.8388,Neutraal (taakgericht),0.8388,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00952ea0-02cc-45f6-aaaa-b91d80231aed,3,Neutraal (taakgericht),0.894,Neutraal (taakgericht),0.808,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 3 bruikbare bezoekersberichten."
0098e472-e3ce-42f0-a397-96c8462a4a38,1,Neutraal (taakgericht),0.307,Neutraal (taakgericht),0.307,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
009aa269-7a79-4d7f-b8ac-0f50d1a18a48,2,Neutraal (taakgericht),0.8844,Neutraal (taakgericht),0.9134,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 2 bruikbare bezoekersberichten."
009e3d83-7766-4691-a4b8-53c3e824c42c,2,Neutraal (taakgericht),0.9094,Neutraal (taakgericht),0.9038,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 2 bruikbare bezoekersberichten."
00a03d1f-8709-49f9-9240-85db5e7714ab,1,Neutraal (taakgericht),0.9037,Neutraal (taakgericht),0.9037,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00a44c19-1837-4b69-aec9-3c63be970184,1,Neutraal (taakgericht),0.8858,Neutraal (taakgericht),0.8858,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00a88099-8f00-41de-9548-1d4757429b7b,1,Neutraal (taakgericht),0.869,Neutraal (taakgericht),0.869,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00b01f38-1ed8-42f0-ab00-1ea239f9469c,1,Neutraal (taakgericht),0.9345,Neutraal (taakgericht),0.9345,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00b070ae-9ee9-4fe1-aca3-2face6af0eb7,2,Positief,0.5323,Neutraal (taakgericht),0.5765,"Het gesprek begint positief en eindigt neutraal (taakgericht), op basis van 2 bruikbare bezoekersberichten."
00b441de-8b6f-43dc-adad-fd842bc60290,1,Neutraal (taakgericht),0.8999,Neutraal (taakgericht),0.8999,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00b58bf0-0775-4955-b281-4dfb0d816694,1,Neutraal (taakgericht),0.8967,Neutraal (taakgericht),0.8967,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00b64077-6187-4bfc-966c-8e8382310b43,2,Neutraal (taakgericht),0.9154,Neutraal (taakgericht),0.9154,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 2 bruikbare bezoekersberichten."
00b804ef-f97e-4c43-a1fe-19b7038d1e4a,1,Neutraal (taakgericht),0.8178,Neutraal (taakgericht),0.8178,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00bc16b2-c939-42e0-9db4-03e476006db6,2,Neutraal (taakgericht),0.7916,Neutraal (taakgericht),0.9086,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 2 bruikbare bezoekersberichten."
00bc5e02-5fc3-450b-b6c4-cbd310c36745,4,Neutraal (taakgericht),0.8784,Neutraal (taakgericht),0.9223,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 4 bruikbare bezoekersberichten."
00bcae7c-d08a-4f43-a63c-1416a5dc8c52,1,Neutraal (taakgericht),0.9349,Neutraal (taakgericht),0.9349,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00c427c6-cc86-4c66-a5ae-3dfa2b7224ab,5,Neutraal (taakgericht),0.9278,Neutraal (taakgericht),0.9236,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 5 bruikbare bezoekersberichten."
00c8dc2b-b382-4a0c-bbc4-c11e553995e0,3,Neutraal (taakgericht),0.9225,Positief,0.8713,"Het gesprek begint neutraal (taakgericht) en eindigt positief, op basis van 3 bruikbare bezoekersberichten."
00c9d79b-b54d-41f1-b3ea-8aed28b0b6cb,1,Neutraal (taakgericht),0.8641,Neutraal (taakgericht),0.8641,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00cb4dff-9760-4610-93a4-539dbe5102ea,1,Neutraal (taakgericht),0.8702,Neutraal (taakgericht),0.8702,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00d0bc96-45cf-43cb-86cf-3afc9443a7eb,1,Neutraal (taakgericht),0.7357,Neutraal (taakgericht),0.7357,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00dd8a2d-32cd-47af-b0bd-8a6b5ee2c21f,1,Neutraal (taakgericht),0.9026,Neutraal (taakgericht),0.9026,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00e8656f-ce94-4e5b-961c-72d22e6b4e32,12,Neutraal (taakgericht),0.5658,Neutraal (taakgericht),0.9153,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 12 bruikbare bezoekersberichten."
00eb1094-dd53-4d72-b0bf-99a2c525686f,1,Negatief (gefrustreerd),0.3405,Negatief (gefrustreerd),0.3405,"Het gesprek begint negatief (gefrustreerd) en eindigt negatief (gefrustreerd), op basis van 1 bruikbaar bezoekersbericht."
00f02a12-b22c-4ae5-92a7-c05b35779c39,1,Neutraal (taakgericht),0.883,Neutraal (taakgericht),0.883,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00f28533-b099-4a15-97ba-e63a75c76969,1,Neutraal (taakgericht),0.9192,Neutraal (taakgericht),0.9192,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00f7075c-faa5-4f2c-83a4-43d93e10a77c,1,Neutraal (taakgericht),0.7812,Neutraal (taakgericht),0.7812,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00f734d7-01f4-40a6-98e8-7146924b54e3,1,Neutraal (taakgericht),0.8789,Neutraal (taakgericht),0.8789,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
00f8c254-f3f3-4627-8213-d263394d2e34,2,Neutraal (taakgericht),0.916,Neutraal (taakgericht),0.916,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 2 bruikbare bezoekersberichten."
00fff3cb-1160-43ca-b15b-8b206133347c,1,Neutraal (taakgericht),0.5174,Neutraal (taakgericht),0.5174,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
01022b7e-0aa8-463f-8aec-b76301df2547,2,Neutraal (taakgericht),0.7891,Neutraal (taakgericht),0.6932,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 2 bruikbare bezoekersberichten."
0102784a-f506-4832-a438-e0735198997b,1,Neutraal (taakgericht),0.8549,Neutraal (taakgericht),0.8549,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
0105c48b-81e3-4186-9afc-5265774257af,1,Neutraal (taakgericht),0.8674,Neutraal (taakgericht),0.8674,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
0107f1db-5e99-4eec-af64-8bd85e42673d,3,Neutraal (taakgericht),0.9343,Positief,0.9164,"Het gesprek begint neutraal (taakgericht) en eindigt positief, op basis van 3 bruikbare bezoekersberichten."
0109ceb7-20ac-4631-a3ee-29c749c1bef6,3,Neutraal (taakgericht),0.8731,Neutraal (taakgericht),0.9101,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 3 bruikbare bezoekersberichten."
010c38d9-f175-4bda-8af1-74e1bd7c1a64,1,Neutraal (taakgericht),0.8857,Neutraal (taakgericht),0.8857,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
0112d893-d8cb-4c22-8f7d-8d2bcad6d9a7,5,Neutraal (taakgericht),0.8345,Neutraal (taakgericht),0.8983,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 5 bruikbare bezoekersberichten."
01174b4c-7b65-45d3-aa20-b43f67e5308a,2,Neutraal (taakgericht),0.6191,Positief,0.4983,"Het gesprek begint neutraal (taakgericht) en eindigt positief, op basis van 2 bruikbare bezoekersberichten."
011df83f-c9c3-48c3-b67f-52a57d16ef1b,1,Neutraal (taakgericht),0.8005,Neutraal (taakgericht),0.8005,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
011e0acc-823f-44ea-b571-5fba416ab503,1,Neutraal (taakgericht),0.9185,Neutraal (taakgericht),0.9185,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
01207c5a-2613-4eb4-81a9-f1f7ef4e758a,1,Neutraal (taakgericht),0.9189,Neutraal (taakgericht),0.9189,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
0121ab2a-e2c7-4e68-b078-6f49655a1909,1,Neutraal (taakgericht),0.8661,Neutraal (taakgericht),0.8661,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
0121abee-4f9f-4441-9fcf-a71e55683453,2,Neutraal (taakgericht),0.9051,Neutraal (taakgericht),0.4848,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 2 bruikbare bezoekersberichten."
01236434-c4bc-4e26-b265-720090fc88dd,4,Neutraal (taakgericht),0.8592,Positief,0.4674,"Het gesprek begint neutraal (taakgericht) en eindigt positief, op basis van 4 bruikbare bezoekersberichten."
012c5caf-918e-4b90-aa74-93c8c7444eff,3,Neutraal (taakgericht),0.8765,Neutraal (taakgericht),0.9137,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 3 bruikbare bezoekersberichten."
012e88d4-459c-4030-8fed-acfd2541cd85,1,Neutraal (taakgericht),0.6979,Neutraal (taakgericht),0.6979,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
013098d6-1a52-4a11-91ac-f0045dd7d381,1,Neutraal (taakgericht),0.8391,Neutraal (taakgericht),0.8391,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
013507c2-7dee-4e47-bcd1-03dd7b195575,1,Neutraal (taakgericht),0.896,Neutraal (taakgericht),0.896,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
0139d3cc-9305-48cc-a430-0da2d9ca4111,1,Neutraal (taakgericht),0.9154,Neutraal (taakgericht),0.9154,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
