conversation_id,intent,confidence,first_detected_at
07a4f889-fe12-4ecf-9b6f-41c516a7e8dd,Request Information,0.5021,2026-09-03T10:28:00+00:00
12488494-c1a2-4a3d-ae71-5f70c234b554,Resolve Problem or Incident,0.4937,2026-09-03T10:14:00+00:00
14f44a14-598b-4544-bf4c-5deb231ebf6a,Resolve Problem or Incident,0.9384,2026-09-03T13:16:00+00:00
155eddf2-84af-43a0-af2d-39d54bbb4610,Resolve Problem or Incident,0.313,2026-09-03T10:35:00+00:00
190f2fcf-b299-4f07-b190-82591614ee09,Request Information,0.6356,2026-09-03T12:20:00+00:00
1dfd10d7-0832-45fd-ba14-469acbe77072,Resolve Problem or Incident,0.9004,2026-09-03T12:13:00+00:00
236bc8c6-b36d-438a-9308-c91b041593d9,Operate System,0.2147,2026-09-03T10:49:00+00:00
2ef414bf-6c55-4af9-8b53-552c88a19c57,Resolve Problem or Incident,0.5678,2026-09-03T10:07:00+00:00
48d60344-bc83-4052-9c3c-e6bb21d9ff11,Request Information,0.8947,2026-09-03T12:06:00+00:00
5116a9cd-04d2-4812-8635-8db71cbaa020,Active Navigation Help,0.9652,2026-09-03T13:30:00+00:00
56ae0167-716d-414f-a5f3-b1f7021701e1,Active Navigation Help,0.8376,2026-09-03T10:21:00+00:00
58867045-3bc6-40c4-a8c0-08d90da07cd5,Perform Transaction / Change,0.9734,2026-09-03T13:23:00+00:00
65ff1503-02a5-4521-94ce-c86cd75d26eb,Report Emergency,0.4592,2026-09-03T12:41:00+00:00
74fea9c2-0257-46e0-a4b5-1705238f1fe2,Resolve Problem or Incident,0.7957,2026-09-03T10:42:00+00:00
a091376f-dec6-46b9-9f42-1c92a760461e,Resolve Problem or Incident,0.9741,2026-09-03T11:59:00+00:00
a47f62aa-7976-4529-b51b-d84e435f2292,Report Emergency,0.2356,2026-09-03T11:31:00+00:00
a8a6014d-61a2-4cc4-804e-a3468ae5435e,Request Information,0.9316,2026-09-03T13:09:00+00:00
b0a63a82-72d8-43f2-83f6-eb6350671fbf,Operate System,0.9521,2026-09-03T13:37:00+00:00
bf60b3f4-9eec-48b2-9e5f-b422d6206155,Report Emergency,0.9245,2026-09-03T13:44:00+00:00
c4396754-a1f0-4695-be80-f5745f2a5089,Perform Transaction / Change,0.9289,2026-09-03T12:27:00+00:00
c88f88f7-8c10-4bdc-8ff8-d80377500ea7,Request Information,0.782,2026-09-03T13:02:00+00:00
cce1992c-3283-4b43-bdd5-70d796a7fa18,Active Navigation Help,0.4288,2026-09-03T10:00:00+00:00
d8552de2-a769-4d71-a004-c3a24ee867b6,Operate System,0.4699,2026-09-03T10:56:00+00:00
eed12b92-6151-4abc-b5a1-8218be5c7559,Request Information,0.7444,2026-09-03T12:48:00+00:00
ff1de4ff-9a63-4e7b-9738-10005b237d90,Active Navigation Help,0.6893,2026-09-03T12:55:00+00:00
