conversation_id,aantal_bezoekersberichten,sentiment_start,zekerheid_start,sentiment_eind,zekerheid_eind,uitleg
0103cf17-7e89-4ad5-991c-b18d818ec166,2,Negatief (gefrustreerd),0.884,Boos (paniek),0.5822,"Het gesprek begint negatief (gefrustreerd) en eindigt boos (paniek), op basis van 2 bruikbare bezoekersberichten."
016b6ad0-4a3f-4643-a29d-ce2e97d9e92f,2,Neutraal (taakgericht),0.9346,Positief,0.6697,"Het gesprek begint neutraal (taakgericht) en eindigt positief, op basis van 2 bruikbare bezoekersberichten."
01cf8b53-0970-41a1-a935-afc633d43918,1,Negatief (gefrustreerd),0.7024,Negatief (gefrustreerd),0.7024,"Het gesprek begint negatief (gefrustreerd) en eindigt negatief (gefrustreerd), op basis van 1 bruikbaar bezoekersbericht."
043a69ce-6eb8-4a18-b8cb-ff0f7d0e9c0f,1,Boos (paniek),0.5822,Boos (paniek),0.5822,"Het gesprek begint boos (paniek) en eindigt boos (paniek), op basis van 1 bruikbaar bezoekersbericht."
07043831-9ad6-45f6-b956-5ba5e63a9a92,2,Negatief (gefrustreerd),0.884,Negatief (gefrustreerd),0.3768,"Het gesprek begint negatief (gefrustreerd) en eindigt negatief (gefrustreerd), op basis van 2 bruikbare bezoekersberichten."
08ea8523-94e5-4044-8327-28f444cf5f37,1,Neutraal (taakgericht),0.913,Neutraal (taakgericht),0.913,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
0c6f5653-d431-4e90-8ec0-f6f59bfeed5b,2,Negatief (gefrustreerd),0.5067,Negatief (gefrustreerd),0.3768,"Het gesprek begint negatief (gefrustreerd) en eindigt negatief (gefrustreerd), op basis van 2 bruikbare bezoekersberichten."
0e8926d1-ef5b-48d2-aa75-6cca0cb445da,2,Neutraal (taakgericht),0.9346,Positief,0.6697,"Het gesprek begint neutraal (taakgericht) en eindigt positief, op basis van 2 bruikbare bezoekersberichten."
0ed90c95-2a73-4393-a7fd-a76c98503dec,2,Positief,0.8806,Negatief (gefrustreerd),0.3768,"Het gesprek begint positief en eindigt negatief (gefrustreerd), op basis van 2 bruikbare bezoekersberichten."
12b8fd19-95f0-4346-83be-5a7f78dac1e4,2,Neutraal (taakgericht),0.9372,Positief,0.6697,"Het gesprek begint neutraal (taakgericht) en eindigt positief, op basis van 2 bruikbare bezoekersberichten."
17112510-2f60-4c8d-84fe-597b644f37ed,1,Neutraal (taakgericht),0.8695,Neutraal (taakgericht),0.8695,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
1afd21cb-6669-4ce2-b0b6-6323a12871ee,1,Neutraal (taakgericht),0.9317,Neutraal (taakgericht),0.9317,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
2041fa8a-efd4-4dd8-a347-526b1e6cc0a6,1,Positief,0.4293,Positief,0.4293,"Het gesprek begint positief en eindigt positief, op basis van 1 bruikbaar bezoekersbericht."
22ab64f2-4283-4b4d-9142-e8a2d05f40ba,2,Boos (paniek),0.5822,Negatief (gefrustreerd),0.884,"Het gesprek begint boos (paniek) en eindigt negatief (gefrustreerd), op basis van 2 bruikbare bezoekersberichten."
22b2c67f-b458-45f8-bc25-6beaea293feb,2,Positief,0.8806,Negatief (gefrustreerd),0.3768,"Het gesprek begint positief en eindigt negatief (gefrustreerd), op basis van 2 bruikbare bezoekersberichten."
2439e6eb-9038-4840-ab10-e6acbf3d3811,1,Positief,0.7153,Positief,0.7153,"Het gesprek begint positief en eindigt positief, op basis van 1 bruikbaar bezoekersbericht."
283b65ba-eb66-4a84-9868-023dbc7e0499,2,Positief,0.8806,Positief,0.6697,"Het gesprek begint positief en eindigt positief, op basis van 2 bruikbare bezoekersberichten."
2fa6a47d-ccaa-4e5b-ab55-2cb1ebcf9526,2,Negatief (gefrustreerd),0.7252,Positief,0.8541,"Het gesprek begint negatief (gefrustreerd) en eindigt positief, op basis van 2 bruikbare bezoekersberichten."
2fe89a9b-96bf-4097-98e7-3bf2c67e1bf2,1,Neutraal (taakgericht),0.4526,Neutraal (taakgericht),0.4526,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
337afcd9-d3d2-4da8-9123-6178b1354abd,1,Neutraal (taakgericht),0.9253,Neutraal (taakgericht),0.9253,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
36a4cbff-0d22-47ae-952e-40ba8f4659f2,1,Positief,0.4293,Positief,0.4293,"Het gesprek begint positief en eindigt positief, op basis van 1 bruikbaar bezoekersbericht."
372cdc19-2978-4d78-b7c3-1f331b8c5280,2,Boos (paniek),0.577,Positief,0.7901,"Het gesprek begint boos (paniek) en eindigt positief, op basis van 2 bruikbare bezoekersberichten."
38965b07-0a60-47de-b1ea-c145890bd215,2,Boos (paniek),0.577,Positief,0.8541,"Het gesprek begint boos (paniek) en eindigt positief, op basis van 2 bruikbare bezoekersberichten."
3be9d7d4-b010-4ece-8407-792e359387f0,1,Neutraal (taakgericht),0.8412,Neutraal (taakgericht),0.8412,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 1 bruikbaar bezoekersbericht."
3bef65ef-522a-4344-b0cc-16d712db82f8,2,Neutraal (taakgericht),0.4526,Neutraal (taakgericht),0.9346,"Het gesprek begint neutraal (taakgericht) en eindigt neutraal (taakgericht), op basis van 2 bruikbare bezoekersberichten."
3c5c8f89-1bd9-433f-896e-9edf04f4668d,2,Negatief (gefrustreerd),0.5206,Positief,0.9396,"Het gesprek begint negatief (gefrustreerd) en eindigt positief, op basis van 2 bruikbare bezoekersberichten."
