zin,patroon_dat_matchte,type,aantal_keer_voorgekomen
Helaas heb ik geen specifieke openingstijden voor de Kiss & Ride op maandag.,nl_geen_informatie,fallback,1
Ik heb geen specifieke informatie over een powerbank station direct bij de Uptempo stage.,nl_geen_informatie,fallback,1
Helaas heb ik geen informatie over de exacte huurprijs of borg van de powerbanks.,nl_geen_informatie,fallback,1
Ik heb geen specifieke informatie over hoe druk de pendelbussen precies zijn aan het einde van het evenement.,nl_geen_informatie,fallback,1
Ik heb helaas geen specifieke informatie over de exacte opstapplek van de shuttlebus op het festivalterrein zelf voor de terugreis naar Tilburg CS.,nl_geen_informatie,fallback,1
Ik heb helaas geen specifieke informatie over de exacte tijden waarop de muziek stopt.,nl_geen_informatie,fallback,1
Ik heb helaas geen informatie over wanneer de festivalfoto's precies beschikbaar zijn.,nl_geen_informatie,fallback,1
Ik heb hier helaas geen specifieke tijden voor in mijn informatie staan.,nl_geen_informatie,fallback,1
Ik heb helaas geen specifieke tijden in mijn informatie staan over wanneer de muziek zachter of stil moet zijn op de camping.,nl_geen_informatie,fallback,1
"Ik heb geen specifieke tijden gevonden waarop je muziekbox aan mag, maar ik kan je wel vertellen dat een klein draagbaar speakertje (max.",nl_geen_informatie,fallback,1
Ik heb geen specifieke tijden gevonden waarop je muziekbox weer aan mag op de Lakeside camping bij de safaritenten.,nl_geen_informatie,fallback,1
"Ik heb even gekeken, maar ik heb helaas geen informatie over de beschikbaarheid van reserveonderdelen zoals bouten voor bolderkarren op het festivalterrein.",nl_geen_informatie,fallback,1
"Of ze specifiek tijgerbalsem of Voltaren spiergel verkopen, kan ik je helaas niet precies vertellen.",nl_kan_niet_precies,fallback,1
"Ik heb helaas geen specifieke informatie over de huurperiode van de kluisjes, dus ik kan je niet met zekerheid zeggen of dit voor één dag of voor het hele weekend is.",nl_geen_informatie,fallback,1
"I don't have information about specific taxi companies or which one might be ""best,"" as that can really depend on your personal preferences and what you're looking for!",en_i_do_not_have,fallback,1
It looks like I don't have specific information about local taxi firms in Hilvarenbeek in my knowledge base.,en_i_do_not_have,fallback,1
It looks like I don't have specific information about local taxi firms in Hilvarenbeek in my knowledge base.,en_no_specific_information,fallback,1
"Because of that, I don't have specific information about keeping the lock for it.",en_i_do_not_have,fallback,1
"Because of that, I don't have specific information about keeping the lock for it.",en_no_specific_information,fallback,1
"Ik heb hier geen specifieke informatie over, maar het kan zijn dat er rekening wordt gehouden met geluidsnormen of de specifieke akoestiek van de MainStage.",nl_geen_informatie,fallback,1
Ik ga meteen voor je kijken of er tickets beschikbaar zijn om mee te varen.,nl_ik_ga_kijken,belofte,1
Helaas heb ik geen specifieke informatie over de exacte locatie van een ontbijtbuffet op het festivalterrein of de campings.,nl_geen_informatie,fallback,1
Helaas heb ik geen specifieke informatie over de exacte locatie van een ontbijtbuffet op de Lakeside of Comfort camping.,nl_geen_informatie,fallback,1
I don't have specific details about coffee stands right next to the Mainstage itself.,en_i_do_not_have,fallback,1
I don't have specific details about coffee stands right next to the Mainstage itself.,en_no_specific_information,fallback,1
