conversation_id,customer_message_count,starting_sentiment,starting_confidence,ending_sentiment,ending_confidence,explanation
0586c631-e5d6-5ce9-93b5-80ad265c11d7,1,Neutral (task-focused),0.9429,Neutral (task-focused),0.9429,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
0d0c71d4-69bd-55d6-9f48-aa086855f659,1,Positive,0.4983,Positive,0.4983,"The conversation starts positive and ends positive, based on 1 usable customer message."
138eb5ef-f1c4-5921-8f48-7884ddeaa75d,1,Negative (frustrated),0.4487,Negative (frustrated),0.4487,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 1 usable customer message."
17cb7462-9758-510b-bea1-8b671ef2ec1f,1,Neutral (task-focused),0.905,Neutral (task-focused),0.905,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
1d6e5161-365c-5134-ad64-46e6c44fa9cd,2,Negative (frustrated),0.8994,Negative (frustrated),0.3849,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 2 usable customer messages."
24c40ca2-f8f1-5379-862d-f8684bd6dc1e,1,Neutral (task-focused),0.9137,Neutral (task-focused),0.9137,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
27245162-edcd-5878-93f4-cbbed86296fd,2,Neutral (task-focused),0.9378,Negative (frustrated),0.4352,"The conversation starts neutral (task-focused) and ends negative (frustrated), based on 2 usable customer messages."
2b7b5a15-8a8e-5246-9b97-ad324bf7a51d,1,Neutral (task-focused),0.9351,Neutral (task-focused),0.9351,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
2d6173fb-b52e-5e4f-aae3-0ad38190d74c,1,Neutral (task-focused),0.821,Neutral (task-focused),0.821,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
2f101f5c-67ad-5a19-9dc4-63fed0da2d3a,2,Neutral (task-focused),0.7762,Negative (frustrated),0.7632,"The conversation starts neutral (task-focused) and ends negative (frustrated), based on 2 usable customer messages."
3066203b-5344-5c9c-8e1e-933a39c30c17,2,Negative (frustrated),0.8818,Positive,0.482,"The conversation starts negative (frustrated) and ends positive, based on 2 usable customer messages."
38e901d6-5550-5649-8db4-569abcd3516d,1,Neutral (task-focused),0.9184,Neutral (task-focused),0.9184,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
3c69e03a-1dff-5761-9c11-e06cd5d95e1c,1,Negative (frustrated),0.5306,Negative (frustrated),0.5306,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 1 usable customer message."
404f13c4-096e-5b53-bc35-07f9a70a9812,1,Neutral (task-focused),0.9337,Neutral (task-focused),0.9337,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
4bd312f5-6372-5d6a-9e13-8e96fcadb741,1,Neutral (task-focused),0.8225,Neutral (task-focused),0.8225,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
503eb262-2c0b-5f91-8491-fd0a72bff29d,2,Negative (frustrated),0.694,Positive,0.8918,"The conversation starts negative (frustrated) and ends positive, based on 2 usable customer messages."
53c2890a-0cc7-5eb8-b585-5a9674fcb45a,1,Neutral (task-focused),0.9347,Neutral (task-focused),0.9347,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
556c9810-177b-5335-8898-3a28ecb21178,1,Neutral (task-focused),0.9236,Neutral (task-focused),0.9236,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
562ea53b-8f12-5b01-a4ea-1297a66f2919,1,Neutral (task-focused),0.9392,Neutral (task-focused),0.9392,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
56431006-e602-5075-9bc5-d2c131763374,1,Neutral (task-focused),0.8346,Neutral (task-focused),0.8346,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
5a4ee559-14a2-5a02-9779-7a23cfabe5a4,2,Neutral (task-focused),0.3563,Angry (panic),0.7898,"The conversation starts neutral (task-focused) and ends angry (panic), based on 2 usable customer messages."
68e55fa1-b1e8-5604-8d04-71b0256165d5,1,Positive,0.5445,Positive,0.5445,"The conversation starts positive and ends positive, based on 1 usable customer message."
6984de04-5921-5a1b-a8d0-484517aaf7d1,1,Neutral (task-focused),0.8736,Neutral (task-focused),0.8736,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
71588a13-ad68-58d8-9a5e-3bd8c5c821a2,2,Neutral (task-focused),0.78,Positive,0.5334,"The conversation starts neutral (task-focused) and ends positive, based on 2 usable customer messages."
78eaf8f2-fa37-52f8-aa9e-383c017e73ff,2,Angry (panic),0.7648,Positive,0.5486,"The conversation starts angry (panic) and ends positive, based on 2 usable customer messages."
7b73073a-daaf-5f32-810b-c2c9b54c8401,1,Neutral (task-focused),0.9229,Neutral (task-focused),0.9229,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
85a8171f-4541-5938-a3e5-4bfd77218cde,2,Angry (panic),0.5911,Neutral (task-focused),0.8917,"The conversation starts angry (panic) and ends neutral (task-focused), based on 2 usable customer messages."
88d29ae7-a6d0-5ef1-b0ed-3cfe269b99e0,3,Neutral (task-focused),0.9428,Positive,0.5222,"The conversation starts neutral (task-focused) and ends positive, based on 3 usable customer messages."
89a25f3f-e57f-54ac-96fe-6c057226abc6,1,Neutral (task-focused),0.6794,Neutral (task-focused),0.6794,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
8e8b3388-2cb8-57e9-b97b-01d11e3c455a,2,Neutral (task-focused),0.821,Neutral (task-focused),0.8079,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 2 usable customer messages."
94463ed0-2fe3-5f56-8ab4-40c185051493,1,Neutral (task-focused),0.9142,Neutral (task-focused),0.9142,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
98adecb7-e0a0-5f83-87d3-fd59e864c55a,1,Neutral (task-focused),0.933,Neutral (task-focused),0.933,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
99d1260c-d9a3-5dbe-b000-9d0b3fa79e24,1,Neutral (task-focused),0.9311,Neutral (task-focused),0.9311,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
9ba8cb83-fdff-527f-aa42-5070d9b5a9dc,1,Neutral (task-focused),0.9113,Neutral (task-focused),0.9113,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
a0960cbd-7995-53f5-a9cf-4962db8922c9,1,Neutral (task-focused),0.9225,Neutral (task-focused),0.9225,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
ab96f21b-c36f-5c27-8f43-a5f9436a49ec,4,Neutral (task-focused),0.9415,Positive,0.5852,"The conversation starts neutral (task-focused) and ends positive, based on 4 usable customer messages."
abbc594a-63dc-5517-9733-5e080c62d88d,1,Neutral (task-focused),0.7169,Neutral (task-focused),0.7169,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
b3b42dff-dac7-5fbc-bfa9-9217fb0e10d7,1,Negative (frustrated),0.7207,Negative (frustrated),0.7207,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 1 usable customer message."
b46e3517-607f-5815-96bd-dc32bc6ed5f0,1,Positive,0.7236,Positive,0.7236,"The conversation starts positive and ends positive, based on 1 usable customer message."
b7505b3a-601b-537c-a452-818fd920be3a,2,Neutral (task-focused),0.9181,Negative (frustrated),0.5952,"The conversation starts neutral (task-focused) and ends negative (frustrated), based on 2 usable customer messages."
c2ed83de-e28a-5036-a0ad-8e406abcf25c,1,Neutral (task-focused),0.8559,Neutral (task-focused),0.8559,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
c4a52e87-99c5-557a-8957-f3b7fbba70e3,1,Positive,0.7758,Positive,0.7758,"The conversation starts positive and ends positive, based on 1 usable customer message."
c5d4d3cf-a25b-56c5-ba16-cf276e4f1575,1,Neutral (task-focused),0.9404,Neutral (task-focused),0.9404,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
ce9ac876-270c-59df-996c-f616723f3138,2,Negative (frustrated),0.4994,Positive,0.5639,"The conversation starts negative (frustrated) and ends positive, based on 2 usable customer messages."
cf0ef829-f6bf-57dd-ab06-d95268c5975b,2,Neutral (task-focused),0.8982,Angry (panic),0.4424,"The conversation starts neutral (task-focused) and ends angry (panic), based on 2 usable customer messages."
d46795d9-869c-5433-baea-c64753fae947,2,Neutral (task-focused),0.8738,Negative (frustrated),0.8263,"The conversation starts neutral (task-focused) and ends negative (frustrated), based on 2 usable customer messages."
daba352f-d83e-5112-97b6-893cbb2b741e,2,Negative (frustrated),0.3243,Positive,0.5465,"The conversation starts negative (frustrated) and ends positive, based on 2 usable customer messages."
df952f64-16cb-5bca-85f6-e10ca84041ec,1,Neutral (task-focused),0.864,Neutral (task-focused),0.864,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
e232f59d-595e-5a23-a30f-2b3812228612,1,Neutral (task-focused),0.9259,Neutral (task-focused),0.9259,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
fcc733d1-8d3a-56bb-8bf9-978284ec1df5,3,Neutral (task-focused),0.653,Angry (panic),0.6114,"The conversation starts neutral (task-focused) and ends angry (panic), based on 3 usable customer messages."
