conversation_id,aantal_vragen,aantal_beantwoord,percentage_beantwoord,telt_mee,eindoordeel,uitleg
01174b4c-7b65-45d3-aa20-b43f67e5308a,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
0706239c-6005-438f-9e4e-dc0eff98f437,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
0796e0e4-e6f8-4f75-b20e-466abe97ddb0,1,0,0.0,True,Niet beantwoord,0 van de 1 vraag is beantwoord.
08c5f8b1-66e8-4a39-9ae7-127a66346d3f,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
09752897-d16c-476d-ae76-b8cf9dc94a98,1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.
098a0909-d5e1-427a-88ac-bda635e9b475,1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.
09e95652-e9aa-4162-a526-b5a8d1b2c293,1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.
0c3c2968-ab18-44e6-ade7-ab892021040c,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
0cd57727-a0c4-4db1-9771-a9bd6f084a05,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
12ac98bf-388a-425f-b765-12b4d457a5c1,1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.
14dba487-6b83-4e71-a5dc-5f2a9f8472e0,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
150b1fad-88a3-4491-9285-d94c10878e8a,1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.
15e71aa7-3cc5-48b5-a21f-76a557989b98,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
1710919c-f784-4a25-bb15-ff78d84876a8,1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.
1742addb-36cb-41cb-87ca-ae7a030fe3b3,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
17b813c9-a768-45ad-a305-317e4a71a2f5,1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.
17c6cc22-ef9f-472c-8b58-19c1cddebc97,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
1802e1c9-e4a5-4ade-abc0-33fda8ce8655,1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.
187d831f-1702-4c05-8d75-bf6b07d52405,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
1b4e4803-2257-46e2-8629-26762dd2265c,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
1bdaef0b-2928-4349-a389-16df918a46e9,1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.
1be703b4-43d3-42cb-8180-f2071312c727,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
1c12123b-c78b-417f-bfa0-2548cff3c46c,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
1dc0a253-b919-4093-93b6-8d4beea581fd,1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.
1de4edb5-3cb9-4ba8-b783-b5b9ff632492,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
1fbb58df-aced-4a64-a4e7-5e23bdf0edeb,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
20e31a80-f5ed-4182-92c3-c0764798d4bd,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
2186420d-9e43-430b-989a-43ea93f113a1,2,1,50.0,True,Deels beantwoord,1 van de 2 vragen zijn beantwoord.
22ca281e-537d-4078-ae60-3ac831115bf8,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
22e99039-ae98-45f1-a5d7-e29a837bf076,1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.
24be083f-a87d-49aa-a895-b2c77460217a,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
25b1669f-8ed2-44ac-aa06-f9afe8595781,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
26b09e86-2ec7-4ed7-a1c6-ff9112410a61,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
29f4c1f2-8c46-4d4e-a809-43fc769c24d8,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
2a40bbea-0462-4c77-bea6-836c66c5d401,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
2a9ba08a-ddb7-4dd8-8a2f-09fcf8c8a8e5,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
2b7a5408-d6cd-492a-a896-ef73c9780ab5,1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.
2c60c1b7-4dca-4fd3-b403-e8ae9eb2616f,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
2c7fe844-8cdb-4bfa-a7d1-e42df5ed1638,1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.
2c9c7738-2fad-4d52-a6f7-4145c87ab9c3,1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.
2ec6ec72-735e-4662-a8c6-87b5a708477b,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
3151ae09-babf-4390-96d8-23dee8f71d61,1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.
321daacf-ed4a-4bd6-afe6-207fcf8279e4,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
322b3132-207c-4eb1-b2bb-2387c2f61ef0,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
346e9b25-37fb-47da-a21c-808eaed74b78,0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
