conversation_id,created_at,text,main_topic,subtopic,similarity
0586c631-e5d6-5ce9-93b5-80ad265c11d7,2026-08-30T01:00:45+00:00,Waar is de Kiss & Ride op maandag?,Program,General,0.3544849753379822
138eb5ef-f1c4-5921-8f48-7884ddeaa75d,2026-09-02T13:00:45+00:00,"Bonjour, j ai perdu ma carte d identite samedi au controle des tickets",Access,Lost,0.7073819637298584
17cb7462-9758-510b-bea1-8b671ef2ec1f,2026-08-30T13:00:45+00:00,Kan ik ergens tickets kopen voor die snelle rib op het water?,Access,Upgrade,0.5889127850532532
1d6e5161-365c-5134-ad64-46e6c44fa9cd,2026-08-31T01:00:45+00:00,"Ons huisje gaat niet open met de code, we hebben het meerdere keren geprobeerd",Venue,CabinAccess,0.4978281557559967
1d6e5161-365c-5134-ad64-46e6c44fa9cd,2026-08-31T01:03:15+00:00,We staan hier al een half uur in de regen,Venue,Emergency,0.2721989154815674
24c40ca2-f8f1-5379-862d-f8684bd6dc1e,2026-09-02T04:00:45+00:00,Bis wann muessen wir am Montag auschecken?,Program,Schedule,0.4818381369113922
27245162-edcd-5878-93f4-cbbed86296fd,2026-08-29T22:00:45+00:00,Wanneer komen de foto's van dit jaar online?,Program,General,0.5818549990653992
27245162-edcd-5878-93f4-cbbed86296fd,2026-08-29T22:03:15+00:00,"Jammer, had ik graag geweten",None,None,0.37702298164367676
2b7b5a15-8a8e-5246-9b97-ad324bf7a51d,2026-08-28T13:00:45+00:00,Hoe laat gaat het festival zondag open?,Program,Schedule,0.49548575282096863
2f101f5c-67ad-5a19-9dc4-63fed0da2d3a,2026-08-30T22:00:45+00:00,Ik wil de naam op mijn ticket laten wijzigen,Access,Rename,0.7625041007995605
2f101f5c-67ad-5a19-9dc4-63fed0da2d3a,2026-08-30T22:03:15+00:00,Waarom kan dat niet gewoon hier,None,None,0.3823932111263275
3066203b-5344-5c9c-8e1e-933a39c30c17,2026-09-03T10:00:45+00:00,"De toiletten bij vak 4 zijn al uren niet schoongemaakt, dit is niet te doen",Venue,Amenities,0.4458044171333313
3066203b-5344-5c9c-8e1e-933a39c30c17,2026-09-03T10:03:15+00:00,Ik hoop dat er nu echt iets gebeurt,Program,General,0.354519248008728
38e901d6-5550-5649-8db4-569abcd3516d,2026-08-28T22:00:45+00:00,Kan ik mijn dagticket nog omzetten naar een weekendticket?,Access,Upgrade,0.7187843918800354
3c69e03a-1dff-5761-9c11-e06cd5d95e1c,2026-09-03T07:00:45+00:00,Er ligt hier iemand op de grond bij podium 2 die niet reageert,Venue,Emergency,0.2864580452442169
404f13c4-096e-5b53-bc35-07f9a70a9812,2026-09-03T16:00:45+00:00,Wie speelt er vanavond op de mainstage?,Program,General,0.4171557128429413
4bd312f5-6372-5d6a-9e13-8e96fcadb741,2026-08-29T01:00:45+00:00,Zijn er warme douches op de Lakeside camping?,Venue,Amenities,0.702128529548645
503eb262-2c0b-5f91-8491-fd0a72bff29d,2026-09-01T13:00:45+00:00,The scanner keeps rejecting my barcode at the gate,Access,Scanning,0.7758995294570923
