id,event_id,main_topic,subtopic,active,description
1,decibel_2026,Access,Lost,true,"Lost ticket or ticket never received, e.g. due to a lost phone or missing email"
2,decibel_2026,Access,Rename,true,Questions about putting a ticket in someone else's name
3,decibel_2026,Access,Scanning,true,"Problems at the gates, entrance North/South scanning issues"
4,decibel_2026,Access,Wristband,true,Wristband lost or broken
5,decibel_2026,Access,AgeCheck,true,"ID checks, passport vs. driver's license, minimum age"
6,decibel_2026,Access,Upgrade,true,"Buying extra tickets, upgrading, or reselling via TicketSwap"
7,decibel_2026,Transport,Shuttle,true,"Shuttle bus times and stops, e.g. from Tilburg central station, buying shuttle tickets"
8,decibel_2026,Transport,Parking,true,"Getting there by car (exact address, Kiss & Ride drop-off) and parking (tickets, entry/exit, distance to the lot)"
9,decibel_2026,Transport,Transit,true,"Bike storage, scooters, public transport times"
10,decibel_2026,Venue,CheckIn,true,Check-in and check-out rules and times for the campsite
11,decibel_2026,Venue,CabinAccess,true,Broken door codes or locks for cabins (Comfort/Luxury)
12,decibel_2026,Venue,ReEntry,true,"Leaving the site and coming back, e.g. bringing things to the car"
13,decibel_2026,Venue,Amenities,true,"Power, showers, toilets, cooking on the campsite"
14,decibel_2026,Venue,Rules,true,"Noise from camping neighbors, what you're allowed to bring, house rules"
15,decibel_2026,Venue,Lockers,true,"Locker sizes, reservations, locations"
16,decibel_2026,Venue,LostFound,true,Lost and found location on site or handling after the festival
17,decibel_2026,Venue,Charging,true,"Renting powerbanks, phone charging points"
18,decibel_2026,Venue,Map,true,"Where is stage X, info point, first aid"
19,decibel_2026,Venue,Shops,true,"Convenience store, supermarket, medicine, merchandise"
20,decibel_2026,Venue,Emergency,true,"Calling security, first aid, emergencies"
21,decibel_2026,Payments,Balance,true,"Topping up, payment failures, checking cashless balance"
22,decibel_2026,Payments,Refund,true,Refunds for cashless balance or tokens after the festival
23,decibel_2026,Payments,Deposit,true,Returning cups for deposit refund
24,decibel_2026,Payments,Diet,true,"Gluten-free, vegan, bringing your own food onto the campsite"
25,decibel_2026,Program,Schedule,true,"When something happens on site, whether the main stage act or a side activity like a tattoo shop appointment or fairground ride"
26,decibel_2026,Program,General,true,"Non-urgent info such as when the next edition is, or requesting recaps, aftermovies, photos"
27,decibel_2026,Feedback,Noise,true,"Noise complaints, e.g. from local residents"
28,decibel_2026,Feedback,FacilityIssue,true,"Complaints about queues, toilet hygiene, crowding"
29,decibel_2026,Feedback,Staff,true,Treated unfriendly or wrongly turned away by staff or security
