conversation_id,main_topic,subtopic,confidence,first_detected_at
0103cf17-7e89-4ad5-991c-b18d818ec166,Payments,Deposit,0.1759,2026-08-23T06:35:00+00:00
016b6ad0-4a3f-4643-a29d-ce2e97d9e92f,Payments,Deposit,0.1612,2026-08-22T09:38:00+00:00
016b6ad0-4a3f-4643-a29d-ce2e97d9e92f,Feedback,Other,0.343,2026-08-22T09:38:50+00:00
01cf8b53-0970-41a1-a935-afc633d43918,Tickets,Rename,0.0872,2026-08-23T00:20:00+00:00
043a69ce-6eb8-4a18-b8cb-ff0f7d0e9c0f,Payments,Deposit,0.1848,2026-08-24T00:24:00+00:00
07043831-9ad6-45f6-b956-5ba5e63a9a92,Payments,Deposit,0.1759,2026-08-24T09:52:00+00:00
07043831-9ad6-45f6-b956-5ba5e63a9a92,Feedback,Other,0.215,2026-08-24T09:53:00+00:00
08ea8523-94e5-4044-8327-28f444cf5f37,Tickets,Rename,0.1474,2026-08-22T13:50:00+00:00
0c6f5653-d431-4e90-8ec0-f6f59bfeed5b,Camping,Other,0.2444,2026-08-24T13:28:00+00:00
0c6f5653-d431-4e90-8ec0-f6f59bfeed5b,Feedback,Other,0.215,2026-08-24T13:29:00+00:00
0e8926d1-ef5b-48d2-aa75-6cca0cb445da,Tickets,Rename,0.1579,2026-08-23T00:02:00+00:00
0e8926d1-ef5b-48d2-aa75-6cca0cb445da,Feedback,Other,0.343,2026-08-23T00:02:50+00:00
0ed90c95-2a73-4393-a7fd-a76c98503dec,Payments,Deposit,0.1789,2026-08-24T18:27:00+00:00
0ed90c95-2a73-4393-a7fd-a76c98503dec,Feedback,Other,0.215,2026-08-24T18:28:00+00:00
12b8fd19-95f0-4346-83be-5a7f78dac1e4,Tickets,Rename,0.1751,2026-08-22T19:26:00+00:00
12b8fd19-95f0-4346-83be-5a7f78dac1e4,Feedback,Other,0.343,2026-08-22T19:26:50+00:00
17112510-2f60-4c8d-84fe-597b644f37ed,Payments,Other,0.0902,2026-08-22T11:02:00+00:00
1afd21cb-6669-4ce2-b0b6-6323a12871ee,Feedback,Other,0.1879,2026-08-23T03:46:00+00:00
2041fa8a-efd4-4dd8-a347-526b1e6cc0a6,Feedback,Other,0.1197,2026-08-24T07:32:00+00:00
22ab64f2-4283-4b4d-9142-e8a2d05f40ba,Payments,Deposit,0.1848,2026-08-23T23:43:00+00:00
22b2c67f-b458-45f8-bc25-6beaea293feb,Payments,Deposit,0.1789,2026-08-23T19:29:00+00:00
22b2c67f-b458-45f8-bc25-6beaea293feb,Feedback,Other,0.215,2026-08-23T19:30:00+00:00
2439e6eb-9038-4840-ab10-e6acbf3d3811,Feedback,Other,0.1197,2026-08-22T14:28:00+00:00
283b65ba-eb66-4a84-9868-023dbc7e0499,Payments,Deposit,0.1789,2026-08-24T01:09:00+00:00
283b65ba-eb66-4a84-9868-023dbc7e0499,Feedback,Other,0.343,2026-08-24T01:10:00+00:00
2fa6a47d-ccaa-4e5b-ab55-2cb1ebcf9526,Payments,Deposit,0.091,2026-08-24T22:17:00+00:00
2fa6a47d-ccaa-4e5b-ab55-2cb1ebcf9526,Feedback,Other,0.5065,2026-08-24T22:18:00+00:00
2fe89a9b-96bf-4097-98e7-3bf2c67e1bf2,Payments,Deposit,0.1598,2026-08-22T19:44:00+00:00
337afcd9-d3d2-4da8-9123-6178b1354abd,Camping,Access,0.1714,2026-08-23T02:56:00+00:00
36a4cbff-0d22-47ae-952e-40ba8f4659f2,Feedback,Other,0.1197,2026-08-24T03:13:00+00:00
372cdc19-2978-4d78-b7c3-1f331b8c5280,Payments,Deposit,0.1885,2026-08-23T04:28:00+00:00
372cdc19-2978-4d78-b7c3-1f331b8c5280,Feedback,Other,0.2762,2026-08-23T04:28:50+00:00
38965b07-0a60-47de-b1ea-c145890bd215,Payments,Deposit,0.1885,2026-08-23T01:03:00+00:00
38965b07-0a60-47de-b1ea-c145890bd215,Feedback,Other,0.5065,2026-08-23T01:03:50+00:00
3be9d7d4-b010-4ece-8407-792e359387f0,Camping,Other,0.1278,2026-08-24T01:42:00+00:00
3bef65ef-522a-4344-b0cc-16d712db82f8,Payments,Deposit,0.1598,2026-08-24T01:40:00+00:00
3bef65ef-522a-4344-b0cc-16d712db82f8,Tickets,Rename,0.1579,2026-08-24T01:41:30+00:00
3c5c8f89-1bd9-433f-896e-9edf04f4668d,Payments,Deposit,0.1325,2026-08-23T07:07:00+00:00
3c5c8f89-1bd9-433f-896e-9edf04f4668d,Feedback,Other,0.333,2026-08-23T07:07:50+00:00
439ac08a-cc81-463d-b90e-7098bd210ee7,Payments,Deposit,0.1848,2026-08-25T03:17:00+00:00
439ac08a-cc81-463d-b90e-7098bd210ee7,Feedback,Other,0.343,2026-08-25T03:18:00+00:00
43c84ae1-696b-4af4-adcd-dace56fedde6,Payments,Deposit,0.1848,2026-08-24T01:35:00+00:00
