conversation_id,main_topic,subtopic,similarity,first_detected_at
09752897-d16c-476d-ae76-b8cf9dc94a98,Transport,Parking,0.475,2026-08-30T01:34:42.536505+00:00
09752897-d16c-476d-ae76-b8cf9dc94a98,Venue,Map,0.4775,2026-08-30T01:35:24.128130+00:00
098a0909-d5e1-427a-88ac-bda635e9b475,Transport,Parking,0.4201,2026-08-30T07:33:54.725664+00:00
098a0909-d5e1-427a-88ac-bda635e9b475,Transport,Shuttle,0.5153,2026-08-30T08:50:17.452948+00:00
098a0909-d5e1-427a-88ac-bda635e9b475,Venue,Noise,0.487,2026-08-30T08:59:19.383479+00:00
09e95652-e9aa-4162-a526-b5a8d1b2c293,Venue,CabinAccess,0.549,2026-08-30T06:57:20.558490+00:00
09e95652-e9aa-4162-a526-b5a8d1b2c293,Venue,Amenities,0.3958,2026-08-30T06:57:52.534612+00:00
09e95652-e9aa-4162-a526-b5a8d1b2c293,Transport,Parking,0.5931,2026-08-30T06:59:04.460877+00:00
12ac98bf-388a-425f-b765-12b4d457a5c1,Transport,Shuttle,0.7061,2026-08-30T08:22:43.008215+00:00
12ac98bf-388a-425f-b765-12b4d457a5c1,Venue,CabinAccess,0.5828,2026-08-30T08:23:07.271183+00:00
12ac98bf-388a-425f-b765-12b4d457a5c1,Access,Upgrade,0.6186,2026-08-30T08:23:55.261110+00:00
12ac98bf-388a-425f-b765-12b4d457a5c1,Program,Schedule,0.4,2026-08-30T08:24:23.840113+00:00
150b1fad-88a3-4491-9285-d94c10878e8a,Transport,Parking,0.4438,2026-08-30T08:27:59.951040+00:00
1710919c-f784-4a25-bb15-ff78d84876a8,Venue,LostFound,0.6255,2026-08-30T07:41:28.972457+00:00
17b813c9-a768-45ad-a305-317e4a71a2f5,Program,Schedule,0.3253,2026-08-30T10:32:01.751305+00:00
17b813c9-a768-45ad-a305-317e4a71a2f5,Venue,Amenities,0.5035,2026-08-30T12:47:12.304306+00:00
17b813c9-a768-45ad-a305-317e4a71a2f5,Venue,Charging,0.5375,2026-08-30T12:47:55.240612+00:00
1802e1c9-e4a5-4ade-abc0-33fda8ce8655,Access,Wristband,0.588,2026-08-30T07:54:30.607860+00:00
1802e1c9-e4a5-4ade-abc0-33fda8ce8655,Venue,LostFound,0.4387,2026-08-30T07:59:46.534460+00:00
1802e1c9-e4a5-4ade-abc0-33fda8ce8655,Venue,Map,0.4856,2026-08-30T08:57:12.767065+00:00
1bdaef0b-2928-4349-a389-16df918a46e9,Program,Schedule,0.3693,2026-08-30T08:21:51.018751+00:00
1dc0a253-b919-4093-93b6-8d4beea581fd,Program,Schedule,0.4088,2026-08-30T09:39:20.010682+00:00
2186420d-9e43-430b-989a-43ea93f113a1,Access,Lost,0.637,2026-08-30T06:54:43.382722+00:00
2186420d-9e43-430b-989a-43ea93f113a1,Transport,Parking,0.5841,2026-08-30T07:34:40.298063+00:00
22ca281e-537d-4078-ae60-3ac831115bf8,Access,Scanning,0.2907,2026-08-30T05:15:52.207796+00:00
22e99039-ae98-45f1-a5d7-e29a837bf076,Transport,Shuttle,0.5787,2026-08-30T11:37:25.780336+00:00
2b7a5408-d6cd-492a-a896-ef73c9780ab5,Venue,LostFound,0.5838,2026-08-30T00:18:47.345733+00:00
2c7fe844-8cdb-4bfa-a7d1-e42df5ed1638,Venue,Shops,0.5464,2026-08-30T07:51:47.049209+00:00
2c9c7738-2fad-4d52-a6f7-4145c87ab9c3,Access,Upgrade,0.4811,2026-08-30T06:57:20.066889+00:00
2c9c7738-2fad-4d52-a6f7-4145c87ab9c3,Venue,Amenities,0.5686,2026-08-30T06:58:53.768124+00:00
2c9c7738-2fad-4d52-a6f7-4145c87ab9c3,Venue,Lockers,0.4898,2026-08-30T06:59:49.736910+00:00
2c9c7738-2fad-4d52-a6f7-4145c87ab9c3,Program,General,0.4109,2026-08-30T07:00:59.775340+00:00
3c5199ec-97da-44d6-b197-ddb822420d34,Access,Upgrade,0.5798,2026-08-30T12:36:34.621551+00:00
4a916ae0-5164-4721-9e2a-bb454f60e83e,Transport,Shuttle,0.7173,2026-08-30T11:04:23.113760+00:00
4a916ae0-5164-4721-9e2a-bb454f60e83e,Venue,Shops,0.3479,2026-08-30T11:04:57.273989+00:00
4ceeb9ef-dafd-40d5-b801-2d1fdf2f342f,Venue,CabinAccess,0.6419,2026-08-30T00:13:25.466176+00:00
5270dd13-a20f-40d1-8698-12200f7401cd,Program,General,0.4697,2026-08-30T12:53:43.827981+00:00
5a11222d-3512-4cf3-ac04-34962cd1c6c7,Venue,Charging,0.4634,2026-08-30T07:20:09.311852+00:00
