conversation_id,intentie,zekerheid,eerst_gedetecteerd_op
0103cf17-7e89-4ad5-991c-b18d818ec166,Probleem of Incident oplossen,0.7967,2026-08-23T06:35:00+00:00
016b6ad0-4a3f-4643-a29d-ce2e97d9e92f,Informatie opvragen,0.6217,2026-08-22T09:38:50+00:00
01cf8b53-0970-41a1-a935-afc633d43918,Probleem of Incident oplossen,0.8587,2026-08-23T00:20:00+00:00
043a69ce-6eb8-4a18-b8cb-ff0f7d0e9c0f,Probleem of Incident oplossen,0.907,2026-08-24T00:24:00+00:00
07043831-9ad6-45f6-b956-5ba5e63a9a92,Probleem of Incident oplossen,0.7967,2026-08-24T09:52:00+00:00
08ea8523-94e5-4044-8327-28f444cf5f37,Transactie / Mutatie uitvoeren,0.9089,2026-08-22T13:50:00+00:00
0e8926d1-ef5b-48d2-aa75-6cca0cb445da,Informatie opvragen,0.6217,2026-08-23T00:02:50+00:00
0ed90c95-2a73-4393-a7fd-a76c98503dec,Noodgeval melden,0.8923,2026-08-24T18:27:00+00:00
12b8fd19-95f0-4346-83be-5a7f78dac1e4,Transactie / Mutatie uitvoeren,0.9231,2026-08-22T19:26:00+00:00
12b8fd19-95f0-4346-83be-5a7f78dac1e4,Informatie opvragen,0.6217,2026-08-22T19:26:50+00:00
17112510-2f60-4c8d-84fe-597b644f37ed,Informatie opvragen,0.7588,2026-08-22T11:02:00+00:00
22ab64f2-4283-4b4d-9142-e8a2d05f40ba,Probleem of Incident oplossen,0.907,2026-08-23T23:43:00+00:00
22b2c67f-b458-45f8-bc25-6beaea293feb,Noodgeval melden,0.8923,2026-08-23T19:29:00+00:00
2439e6eb-9038-4840-ab10-e6acbf3d3811,Noodgeval melden,0.8343,2026-08-22T14:28:00+00:00
283b65ba-eb66-4a84-9868-023dbc7e0499,Noodgeval melden,0.8923,2026-08-24T01:09:00+00:00
283b65ba-eb66-4a84-9868-023dbc7e0499,Informatie opvragen,0.6217,2026-08-24T01:10:00+00:00
2fe89a9b-96bf-4097-98e7-3bf2c67e1bf2,Probleem of Incident oplossen,0.7268,2026-08-22T19:44:00+00:00
337afcd9-d3d2-4da8-9123-6178b1354abd,Informatie opvragen,0.852,2026-08-23T02:56:00+00:00
372cdc19-2978-4d78-b7c3-1f331b8c5280,Systeem bedienen,0.6759,2026-08-23T04:28:00+00:00
