text,intent
Hoe laat gaan de deuren open?,Request Information
Waar kan ik het programma vinden?,Request Information
Is er een kluisje te huur op het terrein?,Request Information
Wat kost een consumptie gemiddeld?,Request Information
Mag ik mijn eigen eten meenemen?,Request Information
Hoe laat speelt de hoofdact?,Request Information
Kan ik met de trein naar het festival komen?,Request Information
Zijn honden toegestaan op het terrein?,Request Information
hoe laat sluit de camping vanavond,Request Information
is er wifi op het terrein?,Request Information
wat zijn de openingstijden van de winkels,Request Information
mag ik een tent meenemen die groter is dan 3 man,Request Information
is er een kledingvoorschrift,Request Information
welke betaalmethodes accepteren jullie,Request Information
hoeveel kost een parkeerplek,Request Information
is er een oplaadpunt voor elektrische auto's,Request Information
what time do the gates open tomorrow,Request Information
is er een apotheek in de buurt van het terrein,Request Information
mogen we eigen drinken meenemen op de camping,Request Information
waar kan ik mijn fiets stallen,Request Information
is er een minimumleeftijd voor het festival,Request Information
wat is de line-up voor zaterdag,Request Information
Mijn ticket scant niet bij de ingang.,Request Information
Ik heb mijn polsbandje kapot getrokken.,Request Information
Er is geld van mijn cashcard afgeschreven maar ik zie geen saldo.,Request Information
De douches op de camping werken niet.,Request Information
Ik krijg steeds een foutmelding bij het inloggen.,Request Information
Mijn naam staat verkeerd op het ticket.,Perform Transaction / Change
Mijn tent is beschadigd geraakt door de storm.,Request Information
De app crasht steeds als ik mijn ticket wil laten zien.,Request Information
mijn qr code doet het niet,Request Information
ik heb betaald maar geen bevestiging ontvangen,Request Information
"de kluisjes gaan niet meer open, mijn spullen zitten erin",Request Information
er zit geen stroom op mijn stopcontact bij de camperplek,Request Information
mijn e-ticket is niet aangekomen in mijn mail,Request Information
het toilet bij vak 3 is verstopt,Request Information
ik kan niet inloggen op mijn account,Request Information
my wristband broke and won't scan anymore,Request Information
de betaalpas-lezer bij de bar accepteert mijn kaart niet,Request Information
ik heb het verkeerde tickettype gekregen na aankoop,Perform Transaction / Change
mijn bagage is kwijtgeraakt bij de garderobe,Request Information
het water op de camping is bruin,Request Information
Ik wil een extra ticket bijkopen.,Perform Transaction / Change
Kan ik mijn ticket omzetten naar een ander type?,Perform Transaction / Change
