zin,patroon_dat_matchte,type,aantal_keer_voorgekomen
Ik heb helaas geen exacte locatie van de opstapplaats op het festivalterrein zelf.,nl_geen_informatie,fallback,1
Helaas heb ik geen specifieke openingstijden voor de Kiss & Ride op maandag.,nl_geen_informatie,fallback,1
"Ik weet dat er eetgelegenheden zijn op de Comfort Camping, maar ik heb helaas geen specifieke details over welke soorten eten daar precies te koop zijn.",nl_geen_informatie,fallback,1
Ik heb helaas geen specifieke informatie over de exacte sluitingstijd van het festival op zondag.,nl_geen_informatie,fallback,2
Ik heb helaas geen specifieke informatie over de openingstijden van de douches op de Lakeside camping.,nl_geen_informatie,fallback,1
Ik heb geen specifieke informatie over een powerbank station direct bij de Uptempo stage.,nl_geen_informatie,fallback,1
Voor de Kiss & Ride op maandag heb ik geen specifieke locatie in mijn informatie staan.,nl_geen_informatie,fallback,1
Voor de Kiss & Ride op maandag heb ik geen specifieke locatie in mijn informatie staan.,nl_geen_specifieke_locatie,fallback,1
I don't have specific closing times for the Kiss & Ride in my current information.,en_no_specific_information,fallback,1
"De exacte startlocatie van de Gezellige Uptempo parade staat niet in mijn informatie, maar de volledige line-up en alle details over de parades, inclusief de speeltijden, vind je in de officiële Decibel outdoor app!",nl_niet_in_kennis,fallback,1
Helaas heb ik geen informatie over kalenders met foto's van onze optredens.,nl_geen_informatie,fallback,1
Ik heb helaas geen specifieke informatie over de exacte locatie van de shuttlebushalte op het festivalterrein zelf voor de terugreis naar Tilburg CS.,nl_geen_informatie,fallback,1
"Ik heb helaas geen specifieke informatie over de exacte route vanaf de camping naar de shuttlebushalte met bagage, of over eventuele faciliteiten voor bagagevervoer.",nl_geen_informatie,fallback,1
Ik heb helaas geen exacte locatie van het vertrekpunt op het festivalterrein zelf.,nl_geen_informatie,fallback,1
I don't have specific information about whether cigarettes are sold on the festival grounds.,en_i_do_not_have,fallback,1
I don't have specific information about whether cigarettes are sold on the festival grounds.,en_no_specific_information,fallback,1
Ik heb hier helaas geen specifieke informatie over de procedure voor vergeten spullen in kluisjes.,nl_geen_informatie,fallback,1
"Ik heb helaas geen informatie over de specifieke nummers die gedraaid zijn, dus ik kan je niet vertellen wat het allerlaatste nummer was op de mainstage op zaterdag.",nl_geen_informatie,fallback,1
"Ik heb helaas geen informatie over de specifieke nummers die gedraaid zijn, dus ik kan je niet vertellen wat het allerlaatste nummer was op de mainstage op zaterdag.",nl_kan_niet_precies,fallback,1
Helaas heb ik geen informatie over de exacte huurprijs of borg van de powerbanks.,nl_geen_informatie,fallback,1
Ik heb helaas geen informatie over hoe je dit officieel kunt opgeven bij externe instanties.,nl_geen_informatie,fallback,1
Ik kan je helaas niet precies vertellen hoe laat het festival vandaag afgelopen is.,nl_kan_niet_precies,fallback,1
"Oeps, ik kan zo snel geen specifiek adres vinden voor een P+R.",nl_kan_zo_snel_geen,fallback,1
"Helaas heb ik geen informatie over waarom een specifieke stage, zoals de hardcore stage, gesloten zou zijn.",nl_geen_informatie,fallback,1
Ik heb geen specifieke informatie over hoe druk de pendelbussen precies zijn aan het einde van het evenement.,nl_geen_informatie,fallback,1
Ik heb helaas geen specifieke informatie over de exacte opstapplek van de shuttlebus op het festivalterrein zelf voor de terugreis naar Tilburg CS.,nl_geen_informatie,fallback,1
"Unfortunately, I don't have the exact departure times for the campsite on Monday in my current information.",en_i_do_not_have,fallback,1
Ik heb helaas geen specifieke informatie over de beschikbaarheid van precies die merchandise bandjes in de shop.,nl_geen_informatie,fallback,1
"Ik heb hier geen specifieke informatie over wanneer de muziek stopt, maar voor dit soort vragen en klachten kun je altijd contact opnemen met ons service- en noodnummer: [PHONE].",nl_geen_informatie,fallback,1
Ik heb geen specifieke informatie over de exacte locaties van de uitgangen op de camping.,nl_geen_informatie,fallback,1
Ik heb helaas geen specifieke informatie over de exacte tijden waarop de muziek stopt.,nl_geen_informatie,fallback,1
"While I know the shuttle bus runs between the campsite and Tilburg Central Station, I don't have the exact details on where the boarding point is located *on the campsite itself* for the return trip.",en_i_do_not_have,fallback,1
"Hmm, ik heb hier geen specifieke informatie over een aparte ingang voor crewleden.",nl_geen_informatie,fallback,1
Ik heb helaas geen informatie over wanneer de festivalfoto's precies beschikbaar zijn.,nl_geen_informatie,fallback,1
Ik heb hier helaas geen specifieke tijden voor in mijn informatie staan.,nl_geen_informatie,fallback,1
Ik heb helaas geen specifieke tijden in mijn informatie staan over wanneer de muziek zachter of stil moet zijn op de camping.,nl_geen_informatie,fallback,1
"Ik heb geen specifieke tijden gevonden waarop je muziekbox aan mag, maar ik kan je wel vertellen dat een klein draagbaar speakertje (max.",nl_geen_informatie,fallback,1
Ik heb geen specifieke tijden gevonden waarop je muziekbox weer aan mag op de Lakeside camping bij de safaritenten.,nl_geen_informatie,fallback,1
I don't have specific details about a separate Lost & Found at a campsite info point for today.,en_i_do_not_have,fallback,1
I don't have specific details about a separate Lost & Found at a campsite info point for today.,en_no_specific_information,fallback,1
Helaas heb ik geen specifieke informatie over geluidsnormen of maatregelen met betrekking tot geluidsoverlast in Moergestel.,nl_geen_informatie,fallback,1
"Ik heb even gekeken, maar ik heb helaas geen informatie over de beschikbaarheid van reserveonderdelen zoals bouten voor bolderkarren op het festivalterrein.",nl_geen_informatie,fallback,1
Ik heb helaas geen specifieke informatie over de exacte afzetplek van de pendelbus op het festivalterrein.,nl_geen_informatie,fallback,1
"Hmm, I don't have specific information here about returning camping stools.",en_i_do_not_have,fallback,1
"Hmm, I don't have specific information here about returning camping stools.",en_no_specific_information,fallback,1
"Of ze specifiek tijgerbalsem of Voltaren spiergel verkopen, kan ik je helaas niet precies vertellen.",nl_kan_niet_precies,fallback,1
