zin,patroon_dat_matchte,type,aantal_keer_voorgekomen
Voor maandag heb ik geen specifieke locatie in mijn informatie staan.,nl_geen_informatie,fallback,1
Voor maandag heb ik geen specifieke locatie in mijn informatie staan.,nl_geen_specifieke_locatie,fallback,1
Ik ga meteen voor je kijken of er tickets beschikbaar zijn.,nl_ik_ga_kijken,belofte,1
Ik heb helaas geen specifieke informatie over wanneer de festivalfoto's beschikbaar komen.,nl_geen_informatie,fallback,1
Die exacte uitchecktijd staat niet in mijn informatie.,nl_niet_in_kennis,fallback,1
Dat weet ik helaas niet.,nl_weet_ik_niet,fallback,1
Ik heb hier geen informatie over in mijn kennis.,nl_geen_informatie,fallback,1
I don't have specific information about local taxi firms in the area or a designated pickup point for Monday.,en_i_do_not_have,fallback,1
I don't have specific information about local taxi firms in the area or a designated pickup point for Monday.,en_no_specific_information,fallback,1
Non ho informazioni specifiche sull orario di uscita dal campeggio per lunedi.,it_no_specific_information,fallback,1
Ik heb geen informatie over de exacte huurprijs of borg van de lockers.,nl_geen_informatie,fallback,1
Ik heb geen specifieke informatie over een powerbank-station direct bij de mainstage.,nl_geen_informatie,fallback,1
