conversation_id,sentiment_customer_message_count,sentiment_starting_sentiment,sentiment_starting_confidence,sentiment_ending_sentiment,sentiment_ending_confidence,sentiment_explanation,answer_check_aantal_vragen,answer_check_aantal_beantwoord,answer_check_percentage_beantwoord,answer_check_telt_mee,answer_check_eindoordeel,answer_check_uitleg,intent_intent_count,intent_intents,topic_topic_count,topic_topics,language_language,language_confidence,language_is_multilingual
0586c631-e5d6-5ce9-93b5-80ad265c11d7,1,Neutral (task-focused),0.9429,Neutral (task-focused),0.9429,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message.",1,0,0.0,True,Niet beantwoord,0 van de 1 vraag is beantwoord.,1,Request Information [confidence=0.8683; first_detected_at=2026-08-30T01:00:45+00:00],1,Program > General [similarity=0.3545; first_detected_at=2026-08-30T01:00:45+00:00],nl,1.0,False
0d0c71d4-69bd-55d6-9f48-aa086855f659,1,Positive,0.4983,Positive,0.4983,"The conversation starts positive and ends positive, based on 1 usable customer message.",0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,0,,0,,und,0.0,False
138eb5ef-f1c4-5921-8f48-7884ddeaa75d,1,Negative (frustrated),0.4487,Negative (frustrated),0.4487,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 1 usable customer message.",1,0,0.0,True,Niet beantwoord,0 van de 1 vraag is beantwoord.,1,Resolve Problem or Incident [confidence=0.9246; first_detected_at=2026-09-02T13:00:45+00:00],1,Access > Lost [similarity=0.7074; first_detected_at=2026-09-02T13:00:45+00:00],und,0.0,False
17cb7462-9758-510b-bea1-8b671ef2ec1f,1,Neutral (task-focused),0.905,Neutral (task-focused),0.905,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message.",1,0,0.0,True,Niet beantwoord,0 van de 1 vraag is beantwoord.,1,Request Information [confidence=0.8210; first_detected_at=2026-08-30T13:00:45+00:00],1,Access > Upgrade [similarity=0.5889; first_detected_at=2026-08-30T13:00:45+00:00],nl,1.0,False
1d6e5161-365c-5134-ad64-46e6c44fa9cd,2,Negative (frustrated),0.8994,Negative (frustrated),0.3849,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 2 usable customer messages.",2,0,0.0,True,Niet beantwoord,0 van de 2 vragen zijn beantwoord.,2,Resolve Problem or Incident [confidence=0.8806; first_detected_at=2026-08-31T01:00:45+00:00] ||| Report Emergency [confidence=0.3638; first_detected_at=2026-08-31T01:03:15+00:00],2,Venue > CabinAccess [similarity=0.4978; first_detected_at=2026-08-31T01:00:45+00:00] ||| Venue > Emergency [similarity=0.2722; first_detected_at=2026-08-31T01:03:15+00:00],nl,1.0,False
24c40ca2-f8f1-5379-862d-f8684bd6dc1e,1,Neutral (task-focused),0.9137,Neutral (task-focused),0.9137,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message.",1,0,0.0,True,Niet beantwoord,0 van de 1 vraag is beantwoord.,1,Request Information [confidence=0.8322; first_detected_at=2026-09-02T04:00:45+00:00],1,Program > Schedule [similarity=0.4818; first_detected_at=2026-09-02T04:00:45+00:00],de,1.0,False
27245162-edcd-5878-93f4-cbbed86296fd,2,Neutral (task-focused),0.9378,Negative (frustrated),0.4352,"The conversation starts neutral (task-focused) and ends negative (frustrated), based on 2 usable customer messages.",1,0,0.0,True,Niet beantwoord,0 van de 1 vraag is beantwoord.,1,Request Information [confidence=0.9260; first_detected_at=2026-08-29T22:00:45+00:00],1,Program > General [similarity=0.5819; first_detected_at=2026-08-29T22:00:45+00:00],nl,1.0,False
2b7b5a15-8a8e-5246-9b97-ad324bf7a51d,1,Neutral (task-focused),0.9351,Neutral (task-focused),0.9351,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message.",1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.,1,Request Information [confidence=0.9832; first_detected_at=2026-08-28T13:00:45+00:00],1,Program > Schedule [similarity=0.4955; first_detected_at=2026-08-28T13:00:45+00:00],nl,1.0,False
2d6173fb-b52e-5e4f-aae3-0ad38190d74c,1,Neutral (task-focused),0.821,Neutral (task-focused),0.821,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message.",0,0,,False,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.,1,Request Information [confidence=0.4020; first_detected_at=2026-08-31T13:01:50+00:00],1,Program > General [similarity=0.4364; first_detected_at=2026-08-31T13:01:50+00:00],en,1.0,False
2f101f5c-67ad-5a19-9dc4-63fed0da2d3a,2,Neutral (task-focused),0.7762,Negative (frustrated),0.7632,"The conversation starts neutral (task-focused) and ends negative (frustrated), based on 2 usable customer messages.",2,0,0.0,True,Niet beantwoord,0 van de 2 vragen zijn beantwoord.,2,Perform Transaction / Change [confidence=0.9648; first_detected_at=2026-08-30T22:00:45+00:00] ||| Request Information [confidence=0.3189; first_detected_at=2026-08-30T22:03:15+00:00],1,Access > Rename [similarity=0.7625; first_detected_at=2026-08-30T22:00:45+00:00],nl,1.0,False
3066203b-5344-5c9c-8e1e-933a39c30c17,2,Negative (frustrated),0.8818,Positive,0.482,"The conversation starts negative (frustrated) and ends positive, based on 2 usable customer messages.",1,0,0.0,True,Niet beantwoord,0 van de 1 vraag is beantwoord.,1,Resolve Problem or Incident [confidence=0.8127; first_detected_at=2026-09-03T10:00:45+00:00],2,Venue > Amenities [similarity=0.4458; first_detected_at=2026-09-03T10:00:45+00:00] ||| Program > General [similarity=0.3545; first_detected_at=2026-09-03T10:03:15+00:00],nl,1.0,False
38e901d6-5550-5649-8db4-569abcd3516d,1,Neutral (task-focused),0.9184,Neutral (task-focused),0.9184,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message.",1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.,1,Perform Transaction / Change [confidence=0.9344; first_detected_at=2026-08-28T22:00:45+00:00],1,Access > Upgrade [similarity=0.7188; first_detected_at=2026-08-28T22:00:45+00:00],nl,1.0,False
3c69e03a-1dff-5761-9c11-e06cd5d95e1c,1,Negative (frustrated),0.5306,Negative (frustrated),0.5306,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 1 usable customer message.",1,0,0.0,True,Niet beantwoord,0 van de 1 vraag is beantwoord.,1,Report Emergency [confidence=0.7384; first_detected_at=2026-09-03T07:00:45+00:00],1,Venue > Emergency [similarity=0.2865; first_detected_at=2026-09-03T07:00:45+00:00],nl,1.0,False
404f13c4-096e-5b53-bc35-07f9a70a9812,1,Neutral (task-focused),0.9337,Neutral (task-focused),0.9337,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message.",1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.,1,Request Information [confidence=0.7455; first_detected_at=2026-09-03T16:00:45+00:00],1,Program > General [similarity=0.4172; first_detected_at=2026-09-03T16:00:45+00:00],nl,1.0,False
4bd312f5-6372-5d6a-9e13-8e96fcadb741,1,Neutral (task-focused),0.8225,Neutral (task-focused),0.8225,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message.",1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.,1,Request Information [confidence=0.9530; first_detected_at=2026-08-29T01:00:45+00:00],1,Venue > Amenities [similarity=0.7021; first_detected_at=2026-08-29T01:00:45+00:00],nl,1.0,False
503eb262-2c0b-5f91-8491-fd0a72bff29d,2,Negative (frustrated),0.694,Positive,0.8918,"The conversation starts negative (frustrated) and ends positive, based on 2 usable customer messages.",1,0,0.0,True,Niet beantwoord,0 van de 1 vraag is beantwoord.,1,Resolve Problem or Incident [confidence=0.9620; first_detected_at=2026-09-01T13:00:45+00:00],2,Access > Scanning [similarity=0.7759; first_detected_at=2026-09-01T13:00:45+00:00] ||| Program > General [similarity=0.3211; first_detected_at=2026-09-01T13:03:15+00:00],en,1.0,False
53c2890a-0cc7-5eb8-b585-5a9674fcb45a,1,Neutral (task-focused),0.9347,Neutral (task-focused),0.9347,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message.",1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.,1,Request Information [confidence=0.9840; first_detected_at=2026-09-02T19:00:45+00:00],1,Program > Schedule [similarity=0.5372; first_detected_at=2026-09-02T19:00:45+00:00],und,0.0,False
556c9810-177b-5335-8898-3a28ecb21178,1,Neutral (task-focused),0.9236,Neutral (task-focused),0.9236,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message.",1,1,100.0,True,Beantwoord,1 van de 1 vraag is beantwoord.,1,Request Information [confidence=0.8606; first_detected_at=2026-08-29T04:00:45+00:00],1,Venue > Amenities [similarity=0.6102; first_detected_at=2026-08-29T04:00:45+00:00],nl,1.0,False
562ea53b-8f12-5b01-a4ea-1297a66f2919,1,Neutral (task-focused),0.9392,Neutral (task-focused),0.9392,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message.",1,0,0.0,True,Niet beantwoord,0 van de 1 vraag is beantwoord.,1,Request Information [confidence=0.9559; first_detected_at=2026-08-30T16:00:45+00:00],1,Venue > Shops [similarity=0.4376; first_detected_at=2026-08-30T16:00:45+00:00],nl,1.0,False
