conversation_id,customer_message_count,starting_sentiment,starting_confidence,ending_sentiment,ending_confidence,explanation
0796e0e4-e6f8-4f75-b20e-466abe97ddb0,1,Negative (frustrated),0.6703,Negative (frustrated),0.6703,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 1 usable customer message."
09752897-d16c-476d-ae76-b8cf9dc94a98,5,Negative (frustrated),0.394,Positive,0.2993,"The conversation starts negative (frustrated) and ends positive, based on 5 usable customer messages."
098a0909-d5e1-427a-88ac-bda635e9b475,3,Neutral (task-oriented),0.8824,Neutral (task-oriented),0.9441,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 3 usable customer messages."
09e95652-e9aa-4162-a526-b5a8d1b2c293,4,Neutral (task-oriented),0.8182,Neutral (task-oriented),0.9432,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 4 usable customer messages."
12ac98bf-388a-425f-b765-12b4d457a5c1,8,Neutral (task-oriented),0.9402,Positive,0.5387,"The conversation starts neutral (task-oriented) and ends positive, based on 8 usable customer messages."
150b1fad-88a3-4491-9285-d94c10878e8a,6,Positive,0.7338,Positive,0.4201,"The conversation starts positive and ends positive, based on 6 usable customer messages."
1710919c-f784-4a25-bb15-ff78d84876a8,1,Negative (frustrated),0.7069,Negative (frustrated),0.7069,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 1 usable customer message."
17b813c9-a768-45ad-a305-317e4a71a2f5,3,Neutral (task-oriented),0.5213,Neutral (task-oriented),0.911,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 3 usable customer messages."
1802e1c9-e4a5-4ade-abc0-33fda8ce8655,3,Negative (frustrated),0.7032,Neutral (task-oriented),0.9388,"The conversation starts negative (frustrated) and ends neutral (task-oriented), based on 3 usable customer messages."
1bdaef0b-2928-4349-a389-16df918a46e9,4,Neutral (task-oriented),0.9213,Neutral (task-oriented),0.7067,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 4 usable customer messages."
1dc0a253-b919-4093-93b6-8d4beea581fd,2,Neutral (task-oriented),0.8811,Negative (frustrated),0.315,"The conversation starts neutral (task-oriented) and ends negative (frustrated), based on 2 usable customer messages."
2186420d-9e43-430b-989a-43ea93f113a1,5,Negative (frustrated),0.3201,Neutral (task-oriented),0.8454,"The conversation starts negative (frustrated) and ends neutral (task-oriented), based on 5 usable customer messages."
22ca281e-537d-4078-ae60-3ac831115bf8,1,Neutral (task-oriented),0.8961,Neutral (task-oriented),0.8961,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message."
22e99039-ae98-45f1-a5d7-e29a837bf076,1,Neutral (task-oriented),0.9072,Neutral (task-oriented),0.9072,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message."
2b7a5408-d6cd-492a-a896-ef73c9780ab5,1,Negative (frustrated),0.5543,Negative (frustrated),0.5543,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 1 usable customer message."
2c7fe844-8cdb-4bfa-a7d1-e42df5ed1638,2,Negative (frustrated),0.3379,Positive,0.8061,"The conversation starts negative (frustrated) and ends positive, based on 2 usable customer messages."
2c9c7738-2fad-4d52-a6f7-4145c87ab9c3,4,Neutral (task-oriented),0.8916,Neutral (task-oriented),0.5415,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 4 usable customer messages."
3151ae09-babf-4390-96d8-23dee8f71d61,1,Neutral (task-oriented),0.5097,Neutral (task-oriented),0.5097,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message."
3c5199ec-97da-44d6-b197-ddb822420d34,2,Neutral (task-oriented),0.9386,Positive,0.3474,"The conversation starts neutral (task-oriented) and ends positive, based on 2 usable customer messages."
4a916ae0-5164-4721-9e2a-bb454f60e83e,4,Negative (frustrated),0.4768,Neutral (task-oriented),0.9036,"The conversation starts negative (frustrated) and ends neutral (task-oriented), based on 4 usable customer messages."
4c2f6056-686a-43c0-b4f1-de52bb39c14a,1,Neutral (task-oriented),0.8434,Neutral (task-oriented),0.8434,"The conversation starts neutral (task-oriented) and ends neutral (task-oriented), based on 1 usable customer message."
