created_at,text,from_agent,message_type,conversation_id,agent_id
2026-08-01T09:00:00Z,Goedemorgen ik heb een vraag over mijn afspraak,false,text,test-gesprek-001,
2026-08-01T09:00:15Z,Natuurlijk waar kan ik mee helpen?,true,text,test-gesprek-001,test-agent
2026-08-01T09:01:00Z,Ik zie hem nu staan dank je wel!,false,text,test-gesprek-001,
2026-08-01T10:00:00Z,Waarom werkt de bevestigingslink niet?,false,text,test-gesprek-002,
2026-08-01T10:00:20Z,Ik kijk het voor je na.,true,text,test-gesprek-002,test-agent
2026-08-01T10:02:00Z,Het lukt nog steeds niet en dit is erg frustrerend.,false,text,test-gesprek-002,
2026-08-01T11:00:00Z,HELP mijn gegevens zijn verdwenen en niemand reageert!,false,text,test-gesprek-003,
2026-08-01T11:00:10Z,We helpen je direct verder.,true,text,test-gesprek-003,test-agent
2026-08-01T12:00:00Z,Wat zijn jullie openingstijden?,false,text,test-gesprek-004,
2026-08-01T12:00:20Z,Wij zijn open van negen tot vijf.,true,text,test-gesprek-004,test-agent
2026-08-01T13:00:00Z,https://voorbeeld.test,false,text,test-gesprek-005,
2026-08-01T13:00:30Z,De uitleg was duidelijk en ik kan verder bedankt!,false,text,test-gesprek-005,
