conversation_id,aantal_vragen,aantal_beantwoord,percentage_beantwoord,eindoordeel,uitleg
0103cf17-7e89-4ad5-991c-b18d818ec166,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
016b6ad0-4a3f-4643-a29d-ce2e97d9e92f,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
01cf8b53-0970-41a1-a935-afc633d43918,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.
043a69ce-6eb8-4a18-b8cb-ff0f7d0e9c0f,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
07043831-9ad6-45f6-b956-5ba5e63a9a92,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
08ea8523-94e5-4044-8327-28f444cf5f37,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.
0c6f5653-d431-4e90-8ec0-f6f59bfeed5b,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
0e8926d1-ef5b-48d2-aa75-6cca0cb445da,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
0ed90c95-2a73-4393-a7fd-a76c98503dec,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
12b8fd19-95f0-4346-83be-5a7f78dac1e4,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
16aa4208-92c8-455d-bc0c-5cdaa69081a7,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
17112510-2f60-4c8d-84fe-597b644f37ed,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
1afd21cb-6669-4ce2-b0b6-6323a12871ee,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
2041fa8a-efd4-4dd8-a347-526b1e6cc0a6,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
22ab64f2-4283-4b4d-9142-e8a2d05f40ba,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
22b2c67f-b458-45f8-bc25-6beaea293feb,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
2439e6eb-9038-4840-ab10-e6acbf3d3811,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
283b65ba-eb66-4a84-9868-023dbc7e0499,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
2fa6a47d-ccaa-4e5b-ab55-2cb1ebcf9526,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
2fe89a9b-96bf-4097-98e7-3bf2c67e1bf2,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.
337afcd9-d3d2-4da8-9123-6178b1354abd,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.
36a4cbff-0d22-47ae-952e-40ba8f4659f2,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
372cdc19-2978-4d78-b7c3-1f331b8c5280,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
38965b07-0a60-47de-b1ea-c145890bd215,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
3be9d7d4-b010-4ece-8407-792e359387f0,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
3bef65ef-522a-4344-b0cc-16d712db82f8,2,1,50.0,Deels beantwoord,1 van de 2 vragen zijn beantwoord.
3c5c8f89-1bd9-433f-896e-9edf04f4668d,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.
439ac08a-cc81-463d-b90e-7098bd210ee7,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
43c84ae1-696b-4af4-adcd-dace56fedde6,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
4600ff8e-ba5f-4fb3-8eba-f4bdc669bbba,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.
4776b9bb-effb-4797-a37c-c48c604a19c4,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
49f7d24a-c5ef-4559-bab4-8274c9cccf3b,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
4b67a384-290f-4527-8500-21a668b2e7bd,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
55b8a907-e011-436d-a627-fbd828b21158,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
5696d2b7-acee-4614-b6ef-70b42b75651d,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
5aeb6e3d-03b0-406b-9b90-1f554154f8c4,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
5d13cb6e-eedc-41ff-89b7-d2c7f076f504,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
5f9fb187-fe03-4aa5-ad9f-7d0aba25d12c,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.
62f23c9c-7e3e-4589-83b1-b57efd11779e,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
67e1a3e2-2254-4911-98a1-28ae0e5b6045,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
6b04873c-9b89-4d69-8e3b-d0fa6ee92030,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
6b18d527-c76c-47c1-b369-306744be2d43,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
6d33ea83-feae-4635-a2fa-944d62170b00,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
6ff20d0a-7b7c-4028-8476-7e1516dda6c7,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
7420edbf-8610-410f-b370-b7294aaa1247,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
7dda8f47-1bd9-4fc1-b52f-0743513d3dc0,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
7df6e233-5e13-4807-9410-93505ca65c28,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
7e2edd10-ae51-4174-a517-12b7aec9bfd5,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.
7ebdec56-87d1-4e71-96e3-09364722ab5a,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
80552cf9-8bac-4854-b7e3-0f65ec3cb1c6,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.
82cab195-56f8-4c3b-aeda-2e7ecf995444,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
8308e78e-ec7a-4ad7-9db9-69e3245ae741,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.
84d531fe-5465-47cc-b5e7-a5de7c6e3bba,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
8c5fdb1e-e71e-4c43-b89f-9594dc203b26,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
8c6cb71e-072c-4816-8cc5-b50678680687,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
8ceeab07-5772-4472-b5f4-b7de4adf9ea5,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
8f5b11a3-7c9a-4605-b764-495c73c7d161,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
9466eb27-05bf-4e55-9bf4-9760b89606e3,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
963c6305-fe38-4a92-be67-f5dc904b2862,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
97a132f2-028e-49b2-8f2c-56f8ecd2d382,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
9a9a0fd7-6a16-410a-8f60-3892847e3a98,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
ae8cfcfb-a099-486f-a763-6278cdd99544,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
b0e42a30-7d5d-4f97-9d98-1bc32fc64e0a,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
b274631d-8126-4ecd-b162-7b7670ffd0ff,1,0,0.0,Niet beantwoord,0 van de 1 vraag is beantwoord.
b5c636f5-f2a5-4d9c-ae87-4b07471a5f45,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
b790d4f6-c1da-4234-b105-99da9a4010ec,0,0,0.0,Geen vragen gevonden,Er zijn geen vragen van de bezoeker gevonden.
b7c4b3c5-a4dc-414e-bc3b-94454c8e9c1c,1,1,100.0,Beantwoord,1 van de 1 vraag is beantwoord.
