conversation_id,created_at,text,main_topic,subtopic,similarity
0796e0e4-e6f8-4f75-b20e-466abe97ddb0,2026-08-30T12:01:27.924753+00:00,Hoe krijg ik jou weg,None,None,0.3356916904449463
09752897-d16c-476d-ae76-b8cf9dc94a98,2026-08-30T01:34:42.536505+00:00,Waar is de kiss en ride maandag ik ben heen met iemand ze auto mee gereden en.heb geen idee waar ik terug nu heen moet,Transport,Parking,0.47500431537628174
09752897-d16c-476d-ae76-b8cf9dc94a98,2026-08-30T01:34:59.237795+00:00,Ja,None,None,0.5683459043502808
09752897-d16c-476d-ae76-b8cf9dc94a98,2026-08-30T01:35:24.128130+00:00,Is de hoofd ingang bij de mian stage of bij de pussy lounge,Venue,Map,0.4774852991104126
09752897-d16c-476d-ae76-b8cf9dc94a98,2026-08-30T01:35:53.203870+00:00,Ja,None,None,0.5683459043502808
09752897-d16c-476d-ae76-b8cf9dc94a98,2026-08-30T01:36:06.322847+00:00,Ja,None,None,0.5683459043502808
098a0909-d5e1-427a-88ac-bda635e9b475,2026-08-30T07:33:54.725664+00:00,Rijd vandaag de pendbus ook?,Transport,Parking,0.42006686329841614
098a0909-d5e1-427a-88ac-bda635e9b475,2026-08-30T08:50:17.452948+00:00,Rijd de pendelbus vandaag ook vanuit tilburg?,Transport,Shuttle,0.5152742862701416
098a0909-d5e1-427a-88ac-bda635e9b475,2026-08-30T08:59:19.383479+00:00,Wat is de opstapplek van de bus naar decibel?,Venue,Noise,0.48703259229660034
09e95652-e9aa-4162-a526-b5a8d1b2c293,2026-08-30T06:57:20.558490+00:00,Kan ik mijn vriend ophalen op de lakeside parkeerplaats van de camping waar hij geslapen heeft vandaag zonder parkeer ticket,Venue,CabinAccess,0.5490393042564392
09e95652-e9aa-4162-a526-b5a8d1b2c293,2026-08-30T06:57:52.534612+00:00,Dat is vanaf de camping heel ver,Venue,Amenities,0.3957521915435791
09e95652-e9aa-4162-a526-b5a8d1b2c293,2026-08-30T06:59:04.460877+00:00,Dus met een parkeerticket mag ik daar op hem wachten tot hij naar de auto loopt,Transport,Parking,0.5931216478347778
