text,main_topic,subtopic,similarity
Savage parade wo,Venue,Map,0.21392038464546204
Wij komen vanuit Tilburg,Venue,Lockers,0.25035107135772705
Is er geen nummer wat ik kan whatsappen?,Venue,CabinAccess,0.25251466035842896
When does dr donk play,Program,Schedule,0.28467002511024475
f5e5b5da82,Access,Scanning,0.2906973958015442
Benadruk nogmaals hoe leuk het gaat zijn,Program,Schedule,0.31795287132263184
ik heb een tattoo afspraak staan maar wil hem graag wat later,Access,Upgrade,0.32285076379776
Zijn er ook opfrispunten met deo etc.?,Program,Schedule,0.3252941966056824
"Ja graag, dan koop ik die",Venue,Shops,0.34789061546325684
What time did the music stop?,Program,Schedule,0.34893542528152466
Hoelaat komt de krach crew?,Program,General,0.35083597898483276
Hoe leuk gaat het worden vandaag?,Program,Schedule,0.3527306914329529
Hi i tried get rundvleeskkroket but it didn‘t work - i paid for it though,Venue,Shops,0.35523003339767456
Waar is straks het ontbijt buffet,Payments,Diet,0.3574063777923584
ik ben nu niet meer op het festivalteerein,Access,Lost,0.35761594772338867
