created_at,updated_at,id,text,location,media,media_url,file,from_agent,chat_sender,message_type,raw_json,llm_message_dump,external_id,read_at,delivered_at,archived_at,agent_id,agent_member_id,conversation_id,card_type,mime_type
2026-08-28 13:00:45.000000+00,2026-08-28 13:00:45.000000+00,934902f5-0540-54be-aff9-857b17a9790e,Hoe laat gaat het festival zondag open?,,,,,false,,,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,0d855119-e5e2-5cef-a5b4-20b0624e36ed,2b7b5a15-8a8e-5246-9b97-ad324bf7a51d,,
2026-08-28 13:01:50.000000+00,2026-08-28 13:01:50.000000+00,732939fb-79e0-5461-b818-1b68abff7cbc,Zondag opent het festivalterrein om 13:00 uur en het duurt tot 23:00 uur. Kan ik je ook vertellen welke artiesten er optreden?,,,,,true,,LLM_RESPONSE,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,0d855119-e5e2-5cef-a5b4-20b0624e36ed,2b7b5a15-8a8e-5246-9b97-ad324bf7a51d,,
2026-08-28 16:00:45.000000+00,2026-08-28 16:00:45.000000+00,aecb1f80-f110-53b4-b0be-bb17e604c47d,Wat kost de shuttlebus vanaf Tilburg CS?,,,,,false,,,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,00bf760c-8119-5b9a-ac9a-a87055e0ff8d,88d29ae7-a6d0-5ef1-b0ed-3cfe269b99e0,,
2026-08-28 16:01:50.000000+00,2026-08-28 16:01:50.000000+00,3bcb24ad-26a5-5e60-9dce-3395644a5323,"Een retourtje kost EUR 15,00. Je kunt het ticket online kopen of ter plaatse bij de halte. Wil je ook weten waar de opstapplaats is?",,,,,true,,LLM_RESPONSE,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,00bf760c-8119-5b9a-ac9a-a87055e0ff8d,88d29ae7-a6d0-5ef1-b0ed-3cfe269b99e0,,
2026-08-28 16:03:15.000000+00,2026-08-28 16:03:15.000000+00,5092b620-eee0-5efb-ac22-1327ef8d8a37,Ja graag,,,,,false,,,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,00bf760c-8119-5b9a-ac9a-a87055e0ff8d,88d29ae7-a6d0-5ef1-b0ed-3cfe269b99e0,,
2026-08-28 16:05:00.000000+00,2026-08-28 16:05:00.000000+00,b8cdc4e7-b848-5f13-8a7a-14543f1cca77,"De shuttlebus vertrekt vanaf de Burgemeester Brokxlaan 6, achter Tilburg Centraal. Neem de achteruitgang van het station en volg de borden.",,,,,true,,LLM_RESPONSE,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,00bf760c-8119-5b9a-ac9a-a87055e0ff8d,88d29ae7-a6d0-5ef1-b0ed-3cfe269b99e0,,
2026-08-28 16:07:05.000000+00,2026-08-28 16:07:05.000000+00,212e042e-7fc5-57b5-8586-39277f4bb7fa,"Top, dank je!",,,,,false,,,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,00bf760c-8119-5b9a-ac9a-a87055e0ff8d,88d29ae7-a6d0-5ef1-b0ed-3cfe269b99e0,,
2026-08-28 19:00:45.000000+00,2026-08-28 19:00:45.000000+00,65188e78-baef-5bee-80e6-1282573a8d75,Hoe groot zijn de lockers op het terrein?,,,,,false,,,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,cbc4a857-3984-51c7-8fbc-17657718cac4,9ba8cb83-fdff-527f-aa42-5070d9b5a9dc,,
2026-08-28 19:01:50.000000+00,2026-08-28 19:01:50.000000+00,911b0154-f924-5b8a-b039-0943738033f2,Op het festivalterrein zijn medium (19 x 27 x 40 cm) en large (30 x 27 x 40 cm) lockers. Op de camping is er ook een XL van 34 x 27 x 40 cm.,,,,,true,,LLM_RESPONSE,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,cbc4a857-3984-51c7-8fbc-17657718cac4,9ba8cb83-fdff-527f-aa42-5070d9b5a9dc,,
2026-08-28 22:00:45.000000+00,2026-08-28 22:00:45.000000+00,5274f432-207d-56ff-984a-704209d3b575,Kan ik mijn dagticket nog omzetten naar een weekendticket?,,,,,false,,,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,4ec6101b-3e3e-5d83-a373-8c76dd820a34,38e901d6-5550-5649-8db4-569abcd3516d,,
2026-08-28 22:01:50.000000+00,2026-08-28 22:01:50.000000+00,f629cb4d-159f-542a-9769-240e2060909f,"Dat kan zolang er weekendtickets beschikbaar zijn, via de upgrade-knop in je account op decibeloutdoor.com.",,,,,true,,LLM_RESPONSE,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,4ec6101b-3e3e-5d83-a373-8c76dd820a34,38e901d6-5550-5649-8db4-569abcd3516d,,
2026-08-29 01:00:45.000000+00,2026-08-29 01:00:45.000000+00,3347a60d-0d2b-5be7-b89c-e27498a94e08,Zijn er warme douches op de Lakeside camping?,,,,,false,,,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,042e167e-0b6a-5fa4-86fa-8dae784d7e35,4bd312f5-6372-5d6a-9e13-8e96fcadb741,,
2026-08-29 01:01:50.000000+00,2026-08-29 01:01:50.000000+00,1321173f-86a4-5e9b-ab8e-d3c40cbfea23,"Ja, op de Lakeside camping zijn warme douches beschikbaar bij het centrale voorzieningengebouw.",,,,,true,,LLM_RESPONSE,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,042e167e-0b6a-5fa4-86fa-8dae784d7e35,4bd312f5-6372-5d6a-9e13-8e96fcadb741,,
2026-08-29 01:03:15.000000+00,2026-08-29 01:03:15.000000+00,a48bc1d9-30cc-59ed-8637-c1a461898ecb,"Hey! To keep you updated on Decibel and assist you directly on WhatsApp this weekend, we just need a quick thumbs-up. Click below so you don't miss a beat!",,,,,true,,,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,042e167e-0b6a-5fa4-86fa-8dae784d7e35,4bd312f5-6372-5d6a-9e13-8e96fcadb741,,
2026-08-29 04:00:45.000000+00,2026-08-29 04:00:45.000000+00,31d6af71-17f4-594c-9847-e92e1b017721,Mag ik een eigen gasstel meenemen naar de camping?,,,,,false,,,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,1d4eca0f-7b40-50ec-a926-0759b009ea68,556c9810-177b-5335-8898-3a28ecb21178,,
2026-08-29 04:01:50.000000+00,2026-08-29 04:01:50.000000+00,a56520d7-9ffa-547c-9885-b5485c635a9e,Kleine gasstelletjes zijn toegestaan op de camping. Open vuur en grote gasflessen zijn niet toegestaan.,,,,,true,,LLM_RESPONSE,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,1d4eca0f-7b40-50ec-a926-0759b009ea68,556c9810-177b-5335-8898-3a28ecb21178,,
2026-08-29 07:00:45.000000+00,2026-08-29 07:00:45.000000+00,1625c766-ef36-5294-a765-c53eddda6745,Ik ben mijn jas kwijt bij de mainstage,,,,,false,,,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,8b2900d3-8231-5602-ba03-8e535915453a,daba352f-d83e-5112-97b6-893cbb2b741e,,
2026-08-29 07:01:50.000000+00,2026-08-29 07:01:50.000000+00,490900a9-6b8b-52a4-a56c-285edad78403,"Wat vervelend. Je kunt terecht bij de Lost & Found stand op het terrein, bij de lockers en bij ingang Noord en Zuid.",,,,,true,,LLM_RESPONSE,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,8b2900d3-8231-5602-ba03-8e535915453a,daba352f-d83e-5112-97b6-893cbb2b741e,,
2026-08-29 07:03:15.000000+00,2026-08-29 07:03:15.000000+00,b1adf483-076c-5231-8a63-1016eb40e15f,"Gevonden, dank!",,,,,false,,,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,8b2900d3-8231-5602-ba03-8e535915453a,daba352f-d83e-5112-97b6-893cbb2b741e,,
2026-08-29 10:00:45.000000+00,2026-08-29 10:00:45.000000+00,6d6f57ca-8aee-579a-9942-07dc6d070d6f,Afmetingen lockers,,,,,false,,,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,9eb70395-1c36-5656-9f3c-78b6a951ced0,56431006-e602-5075-9bc5-d2c131763374,,
2026-08-29 10:01:50.000000+00,2026-08-29 10:01:50.000000+00,0e000da8-7bdf-55ff-9288-ccd8ef5204ef,"Medium is 19 x 27 x 40 cm, large is 30 x 27 x 40 cm. Op de camping is er een XL van 34 x 27 x 40 cm.",,,,,true,,LLM_RESPONSE,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,9eb70395-1c36-5656-9f3c-78b6a951ced0,56431006-e602-5075-9bc5-d2c131763374,,
2026-08-29 13:00:45.000000+00,2026-08-29 13:00:45.000000+00,09ae65c7-c7f3-532b-96be-48c293d67d41,Geluidsoverlast melden comfort camping,,,,,false,,,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,c9aed06e-4491-5544-9d67-dc890387c439,c4a52e87-99c5-557a-8957-f3b7fbba70e3,,
2026-08-29 13:01:50.000000+00,2026-08-29 13:01:50.000000+00,2520a7d1-5ba9-569c-ae28-fa22a0befb83,Je kunt geluidsoverlast melden bij het informatiepunt op de Comfort camping. Daar staan crewleden die het direct oppakken.,,,,,true,,LLM_RESPONSE,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,c9aed06e-4491-5544-9d67-dc890387c439,c4a52e87-99c5-557a-8957-f3b7fbba70e3,,
2026-08-29 16:00:45.000000+00,2026-08-29 16:00:45.000000+00,56fc410b-9737-5297-888b-ca3a7a92e4f7,Ik kan mijn ticket niet vinden in mijn mail,,,,,false,,,,,,,,,93c032f5-1430-54d8-a582-37ee1e69201a,05e4d5bd-17e0-5ec0-8182-abff2bf2e241,b3b42dff-dac7-5fbc-bfa9-9217fb0e10d7,,
