conversation_id,customer_message_count,starting_sentiment,starting_confidence,ending_sentiment,ending_confidence,explanation
0103cf17-7e89-4ad5-991c-b18d818ec166,2,Negative (frustrated),0.884,Angry (panic),0.5822,"The conversation starts negative (frustrated) and ends angry (panic), based on 2 usable customer messages."
016b6ad0-4a3f-4643-a29d-ce2e97d9e92f,2,Neutral (task-focused),0.9346,Positive,0.6697,"The conversation starts neutral (task-focused) and ends positive, based on 2 usable customer messages."
01cf8b53-0970-41a1-a935-afc633d43918,1,Negative (frustrated),0.7024,Negative (frustrated),0.7024,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 1 usable customer message."
043a69ce-6eb8-4a18-b8cb-ff0f7d0e9c0f,1,Angry (panic),0.5822,Angry (panic),0.5822,"The conversation starts angry (panic) and ends angry (panic), based on 1 usable customer message."
07043831-9ad6-45f6-b956-5ba5e63a9a92,2,Negative (frustrated),0.884,Negative (frustrated),0.3768,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 2 usable customer messages."
08ea8523-94e5-4044-8327-28f444cf5f37,1,Neutral (task-focused),0.913,Neutral (task-focused),0.913,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
0c6f5653-d431-4e90-8ec0-f6f59bfeed5b,2,Negative (frustrated),0.5067,Negative (frustrated),0.3768,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 2 usable customer messages."
0e8926d1-ef5b-48d2-aa75-6cca0cb445da,2,Neutral (task-focused),0.9346,Positive,0.6697,"The conversation starts neutral (task-focused) and ends positive, based on 2 usable customer messages."
0ed90c95-2a73-4393-a7fd-a76c98503dec,2,Positive,0.8806,Negative (frustrated),0.3768,"The conversation starts positive and ends negative (frustrated), based on 2 usable customer messages."
12b8fd19-95f0-4346-83be-5a7f78dac1e4,2,Neutral (task-focused),0.9372,Positive,0.6697,"The conversation starts neutral (task-focused) and ends positive, based on 2 usable customer messages."
17112510-2f60-4c8d-84fe-597b644f37ed,1,Neutral (task-focused),0.8695,Neutral (task-focused),0.8695,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
1afd21cb-6669-4ce2-b0b6-6323a12871ee,1,Neutral (task-focused),0.9317,Neutral (task-focused),0.9317,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
2041fa8a-efd4-4dd8-a347-526b1e6cc0a6,1,Positive,0.4293,Positive,0.4293,"The conversation starts positive and ends positive, based on 1 usable customer message."
22ab64f2-4283-4b4d-9142-e8a2d05f40ba,2,Angry (panic),0.5822,Negative (frustrated),0.884,"The conversation starts angry (panic) and ends negative (frustrated), based on 2 usable customer messages."
22b2c67f-b458-45f8-bc25-6beaea293feb,2,Positive,0.8806,Negative (frustrated),0.3768,"The conversation starts positive and ends negative (frustrated), based on 2 usable customer messages."
2439e6eb-9038-4840-ab10-e6acbf3d3811,1,Positive,0.7153,Positive,0.7153,"The conversation starts positive and ends positive, based on 1 usable customer message."
283b65ba-eb66-4a84-9868-023dbc7e0499,2,Positive,0.8806,Positive,0.6697,"The conversation starts positive and ends positive, based on 2 usable customer messages."
2fa6a47d-ccaa-4e5b-ab55-2cb1ebcf9526,2,Negative (frustrated),0.7252,Positive,0.8541,"The conversation starts negative (frustrated) and ends positive, based on 2 usable customer messages."
2fe89a9b-96bf-4097-98e7-3bf2c67e1bf2,1,Neutral (task-focused),0.4526,Neutral (task-focused),0.4526,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
337afcd9-d3d2-4da8-9123-6178b1354abd,1,Neutral (task-focused),0.9253,Neutral (task-focused),0.9253,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
36a4cbff-0d22-47ae-952e-40ba8f4659f2,1,Positive,0.4293,Positive,0.4293,"The conversation starts positive and ends positive, based on 1 usable customer message."
372cdc19-2978-4d78-b7c3-1f331b8c5280,2,Angry (panic),0.577,Positive,0.7901,"The conversation starts angry (panic) and ends positive, based on 2 usable customer messages."
38965b07-0a60-47de-b1ea-c145890bd215,2,Angry (panic),0.577,Positive,0.8541,"The conversation starts angry (panic) and ends positive, based on 2 usable customer messages."
3be9d7d4-b010-4ece-8407-792e359387f0,1,Neutral (task-focused),0.8412,Neutral (task-focused),0.8412,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
3bef65ef-522a-4344-b0cc-16d712db82f8,2,Neutral (task-focused),0.4526,Neutral (task-focused),0.9346,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 2 usable customer messages."
3c5c8f89-1bd9-433f-896e-9edf04f4668d,2,Negative (frustrated),0.5206,Positive,0.9396,"The conversation starts negative (frustrated) and ends positive, based on 2 usable customer messages."
439ac08a-cc81-463d-b90e-7098bd210ee7,2,Angry (panic),0.5822,Positive,0.6697,"The conversation starts angry (panic) and ends positive, based on 2 usable customer messages."
43c84ae1-696b-4af4-adcd-dace56fedde6,1,Angry (panic),0.5822,Angry (panic),0.5822,"The conversation starts angry (panic) and ends angry (panic), based on 1 usable customer message."
4600ff8e-ba5f-4fb3-8eba-f4bdc669bbba,1,Neutral (task-focused),0.4526,Neutral (task-focused),0.4526,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
4776b9bb-effb-4797-a37c-c48c604a19c4,1,Neutral (task-focused),0.9346,Neutral (task-focused),0.9346,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
49f7d24a-c5ef-4559-bab4-8274c9cccf3b,2,Negative (frustrated),0.5067,Positive,0.6697,"The conversation starts negative (frustrated) and ends positive, based on 2 usable customer messages."
55b8a907-e011-436d-a627-fbd828b21158,2,Neutral (task-focused),0.8084,Positive,0.6697,"The conversation starts neutral (task-focused) and ends positive, based on 2 usable customer messages."
5696d2b7-acee-4614-b6ef-70b42b75651d,2,Negative (frustrated),0.884,Positive,0.6697,"The conversation starts negative (frustrated) and ends positive, based on 2 usable customer messages."
5aeb6e3d-03b0-406b-9b90-1f554154f8c4,1,Negative (frustrated),0.4756,Negative (frustrated),0.4756,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 1 usable customer message."
5d13cb6e-eedc-41ff-89b7-d2c7f076f504,1,Positive,0.4293,Positive,0.4293,"The conversation starts positive and ends positive, based on 1 usable customer message."
5f9fb187-fe03-4aa5-ad9f-7d0aba25d12c,1,Neutral (task-focused),0.9349,Neutral (task-focused),0.9349,"The conversation starts neutral (task-focused) and ends neutral (task-focused), based on 1 usable customer message."
62f23c9c-7e3e-4589-83b1-b57efd11779e,2,Neutral (task-focused),0.8412,Positive,0.9396,"The conversation starts neutral (task-focused) and ends positive, based on 2 usable customer messages."
67e1a3e2-2254-4911-98a1-28ae0e5b6045,2,Neutral (task-focused),0.9253,Positive,0.7901,"The conversation starts neutral (task-focused) and ends positive, based on 2 usable customer messages."
6b04873c-9b89-4d69-8e3b-d0fa6ee92030,2,Negative (frustrated),0.7252,Angry (panic),0.5822,"The conversation starts negative (frustrated) and ends angry (panic), based on 2 usable customer messages."
6b18d527-c76c-47c1-b369-306744be2d43,1,Negative (frustrated),0.4756,Negative (frustrated),0.4756,"The conversation starts negative (frustrated) and ends negative (frustrated), based on 1 usable customer message."
